#{"t_start": 1768917393.0061507, "env_id": "LunarLander-v3"}
r,l,t,impact_vel
-292.055814,116,1.040924,0.7801726
-119.313221,106,1.108843,0.84958744
-287.04611,101,1.199697,1.1250408
-84.915333,82,1.791687,0.3741205
-204.30167,131,1.914559,0.891327
-553.648237,143,2.501868,1.7648549
-18.806424,125,3.077773,0.19524166
-281.24518,186,3.262174,0.66756976
32.59374,104,3.828032,1.9524469e-09
-36.52053,97,3.928366,0.3817857
-131.908178,172,4.564149,0.31495473
-226.450111,142,5.16847,0.72696644
-356.358957,412,6.502506,0.10496807
-204.503877,213,7.179234,0.020201933
-143.275169,111,7.750017,0.845972
-182.481436,203,8.415298,0.32020062
-236.740555,320,9.20191,0.35925382
-282.272895,334,10.458188,0.1069726
-182.524827,257,11.179416,0.04275208
-190.594351,171,11.812897,0.07305939
-263.354812,216,12.49094,0.04460571
-141.447421,215,13.169146,0.11335321
-211.181995,164,13.797066,0.01666692
-244.961027,189,14.448657,0.091548234
-153.505207,187,15.101003,0.009159608
-293.452158,188,15.750488,0.051496394
-254.591224,181,16.394539,0.10837708
-374.070226,181,17.037307,0.72689337
-103.570481,130,17.171254,0.50080943
-75.378906,210,17.84548,0.21970358
-133.102124,170,18.478404,0.35597134
-225.135289,245,19.646415,0.034277905
-289.11323,230,20.339584,0.018452002
-29.040423,122,20.464986,0.043510497
-244.168575,150,21.07749,0.18007202
-176.552971,244,21.78593,0.36972255
-56.034463,203,22.451134,0.29924777
-460.603449,271,23.64276,0.12790152
-147.714238,483,25.054799,0.21312918
-289.927478,509,26.931301,0.088498846
-76.553041,257,27.632867,0.2728566
-196.273545,233,28.302106,0.12590627
-138.170754,480,29.656259,0.038966358
-51.873154,1000,32.872261,0.09239925
-264.989906,703,35.361617,0.08412385
-37.754729,1000,38.567569,0.084783465
45.672188,1000,41.778636,0.01255116
-4.622293,1000,44.987272,0.0039595375
-54.821043,1000,48.189204,0.08440804
14.985961,1000,51.397492,0.008277528
-124.461198,1000,54.604525,0.1308015
-50.97616,1000,57.835571,0.1129755
-35.622,1000,61.146759,0.019992476
-15.006922,1000,64.449411,0.003422897
-26.38626,1000,67.75381,0.015153709
-32.142498,1000,71.061204,0.010348867
