#{"t_start": 1768917392.999261, "env_id": "LunarLander-v3"}
r,l,t,impact_vel
4.566216,80,1.02511,0.2775598
-132.805705,115,1.097901,0.3896026
-84.663937,91,1.170817,0.04592945
-369.62368,142,1.82139,0.019149395
-297.035312,86,1.900369,0.31971648
-69.321368,86,1.980886,0.025836881
-232.145988,98,2.526445,0.4107774
-110.982356,100,2.619303,0.4968335
-411.974365,112,3.185977,1.1143445
-411.431201,122,3.770502,0.32474384
-406.872181,116,3.890459,1.0334914
-17.356954,159,4.512853,0.08240122
-83.672427,171,5.146998,0.03368512
-193.169477,259,5.869951,0.018491672
-317.313301,193,6.523013,0.031806964
-160.240177,103,7.087134,0.9681034
-158.846641,278,7.828598,0.32771766
-279.519785,143,8.433721,0.10028802
-49.321709,156,9.051485,0.49393666
-374.985026,166,9.221341,0.17387864
-14.210062,179,9.861074,0.12486025
-319.507154,188,10.510948,0.083248965
-308.565249,134,11.106743,0.037623174
-67.254425,209,11.777941,0.1768809
-113.69325,155,12.395467,0.47720787
-305.315041,206,13.063838,0.09861252
-138.590035,269,13.798481,0.08207408
-182.465351,245,14.507508,0.06984121
-220.732693,706,17.066063,0.04855276
-103.177766,212,17.741269,0.052535888
-68.283677,208,18.414136,0.12622565
-226.261883,257,19.135895,0.09432937
-223.67016,201,19.799383,0.15589164
-180.899986,155,20.417024,0.116960436
-289.187987,170,21.049042,0.22377801
-341.339519,224,21.737622,0.07590707
-231.029623,201,22.399812,0.028841147
-290.945145,622,24.409184,0.096640594
1.391374,164,25.036434,0.03857483
-353.406724,423,26.380175,0.17332406
-126.791932,408,27.678611,4.0808903e-08
-33.705084,1000,30.882639,0.115018144
-4.201312,1000,34.095061,0.021508781
-16.327983,1000,37.314757,0.017657489
-28.521471,1000,40.523505,0.06007468
-62.198356,1000,43.73461,0.021581532
-64.422701,1000,46.937571,0.044794798
-23.552756,1000,50.141907,0.052987967
1.437466,1000,53.350818,0.006185962
-77.013286,1000,56.583566,0.13026696
24.54504,1000,59.848487,0.01042645
-67.481944,1000,63.163288,0.04147676
-47.512362,1000,66.463489,0.056988116
-50.116429,1000,69.769171,0.14931326
-2.045855,1000,73.076154,0.07286668
-39.949274,1000,76.356129,0.019863697
-56.539852,1000,79.603418,0.032484043
-31.929554,1000,82.831965,0.015157753
