#{"t_start": 1768914439.7774537, "env_id": "LunarLander-v3"}
r,l,t
-78.980575,61,2.233988
-156.449633,87,2.385779
-213.345895,66,2.480132
-67.471876,75,2.633931
-444.593497,93,2.760913
-83.806116,74,2.898583
-189.015959,102,3.068114
-108.951642,74,3.180423
-391.41236,116,3.378656
-373.314983,104,3.558528
-72.0383,150,3.796289
-115.63417,96,3.948678
-485.624408,134,4.183318
-354.423508,117,4.364724
-182.00547,68,4.506951
-196.18552,78,4.615491
-3.355455,138,4.847726
-243.894829,110,5.043896
-150.864966,110,5.250326
-88.361041,65,5.345448
-75.154519,66,5.465625
-129.819829,98,5.649692
-98.246583,65,5.750386
-71.929491,82,5.88545
-349.075976,97,6.051062
-125.153297,85,6.180194
-64.391521,64,6.300075
-114.76051,99,6.467748
-184.894031,112,6.646222
-83.550467,73,6.780302
-235.120333,79,6.923126
-245.50369,120,7.116928
-219.187875,96,7.272976
-184.505642,105,7.452736
-196.090255,92,7.617495
-127.472862,83,7.772465
-214.710422,90,7.917798
-143.214176,83,8.084294
-129.827097,75,8.200971
-139.409269,105,8.387909
-95.2214,76,8.518872
-298.349234,127,8.73321
-270.611564,90,8.886107
-91.55588,86,9.019064
-109.342638,91,9.18303
-74.129555,74,9.332031
-230.014766,121,9.561295
-128.112351,112,9.75109
-40.651981,73,9.882401
-145.510173,109,10.074121
-56.734501,68,10.183753
-70.291889,94,10.351793
-123.224315,70,10.484359
-225.336193,156,10.751926
-75.403356,68,10.867144
22.973766,110,11.052296
-188.573953,105,11.245423
-194.126182,113,11.443019
-103.767619,71,11.533398
-144.110863,129,11.768266
-61.845031,77,11.908282
-192.91444,133,12.133057
-140.116142,75,12.266742
-388.759906,115,12.468476
-243.836664,117,12.670353
-83.582527,69,12.780883
-190.953388,110,12.96726
-64.758802,71,13.066785
-96.277755,115,13.266833
-65.094371,85,13.416736
-115.92827,90,13.583243
-131.328492,116,13.786464
-68.26626,78,13.925491
-156.881173,134,14.160119
-132.755564,103,14.33261
-357.55506,125,14.550097
-119.946289,92,14.709754
-67.492264,105,14.884717
14.059461,141,15.133507
-146.380651,86,15.258845
-187.657191,134,15.484906
-120.614026,102,15.666505
-224.690254,96,15.850314
-138.12804,179,16.193887
-80.291411,87,16.361114
-34.52278,146,16.630419
-288.427718,101,16.79952
-224.499135,94,16.967399
-152.542609,126,17.183469
-212.814263,112,17.367377
-209.604584,117,17.571535
-157.464648,209,17.899004
-348.741991,122,18.114074
-342.731923,172,18.393913
-372.084249,168,18.68049
-97.532801,88,18.797303
9.10298,147,19.067091
-88.750453,106,19.230057
-76.374243,70,19.350338
-108.858064,115,19.550424
-288.302948,134,19.765833
-122.70726,118,19.950839
-158.993497,115,20.157524
-60.027848,129,20.372997
-221.317988,150,20.617944
-119.186376,108,20.800641
-149.152272,142,21.049845
-81.855928,118,21.391015
-251.619262,169,21.918229
-278.59379,86,22.205347
-75.676768,149,22.716657
-273.538941,94,23.017675
-68.522356,113,23.397496
-257.434551,144,23.832324
-95.260749,161,24.425043
-208.258742,139,24.870611
-381.02148,96,25.169761
-48.806074,93,25.426962
-26.242744,85,25.766336
-286.807909,135,26.211861
-73.579756,75,26.486067
-200.607722,93,26.794141
-6.940985,91,27.064877
-146.891867,87,27.316036
-97.84963,95,27.648952
-1.255374,150,28.149042
-163.880129,105,28.465245
-49.432896,129,28.884758
-135.161491,133,29.313689
-218.642082,129,29.693871
23.752019,84,29.895471
-67.452891,108,30.244599
-269.301004,123,30.614354
