#{"t_start": 1768914439.8242657, "env_id": "LunarLander-v3"}
r,l,t
-113.258588,90,2.219075
-113.573602,72,2.361146
-389.813613,100,2.553153
-86.597604,63,2.634414
-559.950509,98,2.804053
-349.581338,88,2.93562
-125.918693,96,3.096023
-90.603472,103,3.268082
-204.389055,95,3.437301
-344.940744,118,3.635888
-411.875041,108,3.803713
-258.149446,131,4.02019
-72.005731,75,4.136506
-132.971503,87,4.286518
-278.661261,86,4.437051
-189.337833,69,4.53714
-170.690453,113,4.740842
-107.146127,63,4.832388
-98.771288,70,4.96864
-273.74015,80,5.136733
-316.975364,96,5.282564
-152.607407,107,5.466322
-375.267437,88,5.620815
-157.853621,124,5.820916
-144.973021,72,5.932556
-125.378858,108,6.117635
-367.217276,116,6.31615
-130.442488,65,6.442593
-62.169026,76,6.552316
-252.53351,92,6.71781
-327.803537,92,6.880344
-96.534516,65,6.966547
-144.058757,112,7.170335
-465.857902,88,7.321418
-116.291186,93,7.472142
-133.741121,100,7.655165
-108.923859,130,7.870986
-159.163994,106,8.070695
-164.419082,129,8.305116
-128.042696,79,8.446847
-94.411494,64,8.546124
-193.512936,124,8.749727
-87.55928,104,8.930548
-296.089759,119,9.130566
-460.926759,100,9.333708
-88.537756,76,9.473497
-114.631605,83,9.620852
-219.141656,120,9.835589
-93.001752,106,10.004682
-91.879736,71,10.120119
-145.029125,84,10.28826
-115.290665,77,10.425169
-10.229587,75,10.553538
-250.410567,107,10.73851
-10.035104,77,10.886219
-90.255968,86,11.021602
-138.084714,78,11.152914
-4.239642,113,11.361721
-186.687865,142,11.595351
-87.064217,77,11.714818
-81.780189,113,11.911645
-99.788617,69,12.038764
-162.625433,133,12.262843
-79.35406,76,12.394629
-131.493459,80,12.522476
-125.051225,88,12.689367
-124.939452,115,12.883408
-65.300958,77,13.003061
-164.114511,89,13.15349
-110.768303,78,13.287154
-43.239085,74,13.408626
-191.615057,125,13.619993
-26.815663,112,13.837523
-114.46863,112,14.035049
-106.574249,125,14.250741
-241.265793,122,14.459682
-72.81651,106,14.640256
-123.831223,94,14.786998
-60.127094,97,14.953819
-102.981668,112,15.152818
-232.132692,127,15.353246
-71.891126,85,15.512466
-118.940127,149,15.776241
-161.274769,120,16.025729
-73.193397,91,16.196513
-79.042122,96,16.354254
-79.283289,67,16.497266
-102.190587,113,16.687095
-238.661889,137,16.920587
-159.591873,136,17.155878
-481.341111,140,17.386573
-125.114158,94,17.553202
-86.751921,138,17.786186
-89.164251,96,17.920731
-66.179029,90,18.083079
-68.309226,132,18.29949
-340.649169,127,18.506223
5.717368,113,18.6954
-56.026997,70,18.819227
-255.137985,137,19.046376
-254.240119,131,19.254081
-155.677258,92,19.398676
-188.443365,105,19.567858
-55.381855,99,19.734774
-105.963155,119,19.94259
-115.985755,103,20.117886
-207.848748,114,20.303145
-176.399585,93,20.450274
-29.830933,169,20.753829
-238.607456,178,21.067791
-97.65737,151,21.52072
-202.01827,164,22.073344
-241.764949,130,22.54497
-346.268079,152,22.998521
-169.664999,98,23.336423
-430.832287,111,23.644224
-418.977405,191,24.346326
-294.148821,105,24.70346
-29.247525,69,24.894113
-333.372358,91,25.185707
-290.966273,166,25.756556
-114.37004,69,26.012334
-77.85449,93,26.354467
-60.207833,85,26.569407
-278.480847,111,26.95098
-162.204234,119,27.284765
-47.796553,99,27.642843
-177.188753,99,27.962966
1.799471,110,28.279307
-76.974233,147,28.776248
-115.262831,151,29.266877
-127.70146,159,29.720161
-44.974343,79,29.991243
-43.812789,99,30.245268
-56.254839,95,30.550599
-5.983304,127,30.987306
-1.427799,107,31.336882
-272.044554,155,31.856862
-117.249321,139,32.309741
-422.968185,122,32.700624
-248.906337,124,33.12457
-326.076593,127,33.510386
-263.972608,142,33.96447
-957.590113,274,34.997893
-480.910908,75,35.217916
-425.179125,119,35.599416
-518.25043,110,35.941473
-812.965946,239,36.730438
-458.169069,81,37.040894
-554.331835,111,37.333526
-853.748501,293,38.279265
-1067.147789,257,39.150153
-514.832742,84,39.368469
-1022.067222,278,40.27533
-519.494672,227,40.933657
-561.683546,115,41.301915
-638.289065,100,41.596679
-577.007503,78,41.861286
-1070.410412,265,42.701211
-547.698744,88,42.966921
-440.983775,87,43.237276
-493.666654,89,43.518249
-520.989588,92,43.773527
-732.984754,89,44.070535
-592.627276,107,44.421165
-361.599131,339,45.488351
-481.505095,80,45.708193
-565.685788,91,46.001765
-624.8468,132,46.419616
-399.755504,95,46.717243
-1530.49105,424,48.079418
-2471.531266,480,49.589852
-499.769232,80,49.802432
-2459.106847,402,51.105592
-578.161093,94,51.396577
-453.216895,100,51.711417
-439.887262,87,51.989607
-477.992198,77,52.189645
-1298.271896,367,53.400761
-2037.304092,416,54.721598
-1706.400087,352,55.843531
-531.818247,114,56.21795
-994.592697,237,56.947408
-2777.220296,398,58.17959
-3426.889943,463,59.576996
-943.290723,413,60.817974
-778.79201,274,61.663446
-582.98829,104,61.981079
-2025.286161,408,63.24792
-2628.123502,420,64.619265
-581.935153,78,64.883151
-2063.438682,402,66.256301
-644.835776,227,67.011131
-465.084973,93,67.315539
-455.774003,78,67.526405
-360.086302,111,67.908924
-442.044959,72,68.161556
-514.162984,85,68.37656
-584.768505,80,68.631986
-539.286272,91,68.936192
-495.671249,87,69.204109
-1316.157916,412,70.497715
-779.779691,106,70.802702
-718.343028,96,71.165376
-498.399713,80,71.433392
-488.976813,86,71.654968
-667.304199,84,71.945361
-646.898488,90,72.276755
-618.318372,93,72.523742
-800.788691,130,72.989158
-642.153701,101,73.325885
-1683.097971,510,74.906988
-489.966331,93,75.213208
-638.974566,104,75.56079
-560.841563,106,75.92164
-571.088341,87,76.220749
-517.508607,85,76.520125
-454.816948,86,76.841128
-840.249714,228,77.617644
-546.380516,113,78.044355
-547.535458,76,78.359682
-739.319211,286,79.359399
-521.924495,83,79.69424
-1084.211246,269,80.669225
-541.630725,107,81.024373
-1082.198124,270,81.984143
-946.897173,409,83.556028
-274.754715,170,84.209393
-80.355241,85,84.500793
-50.163491,199,85.188432
-37.613002,105,85.501397
-297.087356,125,85.936651
20.714467,1000,89.397141
-165.296965,231,90.127676
-155.331733,150,90.58174
-33.118375,85,90.875073
-290.61626,106,91.217122
-215.959922,184,91.815475
-393.27603,126,92.192803
-84.942289,136,92.633946
66.587505,1000,96.045623
-267.516109,101,96.349387
-54.790911,79,96.607535
-77.733683,114,97.047348
-143.852346,172,97.666331
-77.685083,97,97.931638
-320.828072,155,98.50663
-7.059779,176,99.078376
-18.82951,110,99.448631
-198.709026,880,102.445951
-163.375967,280,103.355508
-163.858663,128,103.784541
-322.188585,168,104.339631
-191.158074,102,104.710018
81.075183,1000,108.128686
-6.417799,121,108.532752
-83.694478,149,109.016596
-300.31698,199,109.67678
30.220116,120,110.083042
-217.750201,185,110.727113
-6.890061,122,111.164802
-228.405858,318,112.201672
3.667221,324,113.301435
-200.833251,339,114.461101
-5.062841,136,114.923223
-46.182254,298,115.919446
22.788969,166,116.449511
-13.257003,167,116.953862
-49.930037,182,117.567013
-11.964264,233,118.365104
-89.700548,515,119.433491
12.4813,183,119.732728
-89.385504,173,120.010262
-148.07992,149,120.291504
-26.101767,126,120.499403
-110.04311,294,120.98138
63.801826,1000,122.675869
-79.023347,263,123.11628
-25.332835,256,123.556181
-149.718547,166,123.81494
