#{"t_start": 1768914439.7001507, "env_id": "LunarLander-v3"}
r,l,t
-150.428869,75,2.327163
-302.85916,106,2.509687
-339.511854,106,2.711234
-74.581488,74,2.806303
-282.364415,109,2.991944
-109.743108,80,3.139417
-129.205266,79,3.257726
-150.642069,116,3.455959
-89.309291,130,3.66112
-114.698343,124,3.857723
-270.015528,100,4.025981
-102.600299,86,4.189261
-106.998228,82,4.307741
-199.15092,85,4.457882
-83.949803,66,4.586278
-78.97638,80,4.692794
-176.512878,108,4.877938
-86.271728,65,5.012755
-170.008771,132,5.258879
-135.494483,82,5.374696
-53.1608,71,5.511271
-179.162119,103,5.678246
-160.310093,69,5.792434
-154.499004,109,5.976923
-160.302183,83,6.128365
-336.954929,90,6.257497
-160.724965,111,6.440265
-142.673825,114,6.644846
-101.194409,87,6.794644
-337.997793,127,7.01148
-196.740853,111,7.194231
-165.13432,120,7.410632
-125.218782,79,7.530039
32.790437,119,7.745004
-88.633994,107,7.929666
-68.199256,73,8.077125
-95.937725,79,8.21072
-235.007968,119,8.411397
-375.634203,102,8.594295
-123.88363,139,8.826761
-143.376077,133,9.04697
-97.425291,89,9.201831
-127.125857,84,9.336259
-104.952085,103,9.555156
-64.097823,69,9.69993
-190.768377,114,9.893732
-90.844049,74,9.991472
-138.537467,84,10.15258
-214.426472,166,10.443073
-72.873501,95,10.614208
-155.357762,120,10.829229
-365.196428,108,11.012789
-114.416194,92,11.163332
-85.899608,74,11.299581
-152.441719,122,11.511064
-162.944462,100,11.677494
22.041986,90,11.820673
-118.447452,101,11.99853
-115.827802,89,12.145093
-75.72537,97,12.324489
-144.896857,115,12.496458
-123.269553,108,12.695158
-132.479816,111,12.889898
-119.175869,126,13.094426
-72.867567,71,13.232351
-308.202995,121,13.432702
-157.259216,95,13.577672
-261.462512,128,13.794669
-93.717575,113,14.015907
-329.768905,128,14.240578
-226.536942,119,14.435221
-76.919998,93,14.605726
-34.211923,104,14.784056
-128.152451,93,14.950274
-335.355991,168,15.227313
-108.687328,198,15.544153
-141.163847,144,15.794517
-8.79952,99,15.994439
-49.893097,90,16.177434
-297.811162,110,16.390447
-188.261725,108,16.596889
-96.370307,192,16.908565
-23.366999,146,17.160264
-95.612113,170,17.460921
-185.511351,157,17.726863
-89.051806,109,17.911425
-105.33625,108,18.094616
-191.252343,123,18.295793
-416.19533,126,18.507064
-52.680721,123,18.67265
-370.139126,78,18.820619
-19.428554,85,18.960827
10.509108,113,19.144394
-283.488746,190,19.459244
-187.211757,109,19.648528
-48.222433,105,19.82324
13.619849,119,20.020195
-99.479681,155,20.261365
-185.466905,158,20.524558
-344.243831,165,20.811183
-65.481131,125,21.027279
-210.801881,114,21.260121
-208.335887,149,21.735582
-190.358842,109,22.074694
-111.736766,221,22.834481
-359.548252,147,23.269761
-277.346337,92,23.615158
-200.426504,99,23.925417
-276.582454,130,24.390257
-255.595634,180,24.979773
-299.457857,140,25.40644
-209.88102,100,25.757051
-15.052096,231,26.56337
-233.943888,136,27.011118
-18.924604,93,27.296777
-223.640753,99,27.553443
-261.811373,149,28.090995
-383.292031,160,28.590752
-205.735413,106,28.926612
-202.325208,89,29.188231
-265.942128,180,29.771174
-264.820653,104,30.097825
-218.45582,90,30.321902
-23.943882,85,30.608282
-78.348892,82,30.898035
-106.24596,100,31.195113
-210.693459,118,31.582726
-145.3232,93,31.907773
-205.089663,115,32.316964
-208.282072,166,32.819748
-6.760604,97,33.159906
-97.342357,152,33.62649
-69.195976,130,34.048887
-441.167843,72,34.5047
-496.251275,79,34.749779
-1028.845254,417,36.037717
-1672.694425,468,37.568816
-1925.710244,372,38.729836
-625.209117,92,39.055045
-4426.545381,474,40.553742
-2105.712478,415,41.793066
-4606.243053,527,43.457159
-662.224245,104,43.775933
-468.345361,306,44.7065
-367.875913,105,45.053014
-656.472643,76,45.32308
-485.365842,76,45.514183
-487.281141,77,45.787755
-3190.216799,419,47.059021
-1461.867734,516,48.67851
-588.670295,226,49.442805
-2536.111152,476,50.941528
-1054.443715,339,52.048224
-504.378322,81,52.25017
-780.767301,212,52.992242
-3376.752123,505,54.63062
-522.018311,90,54.845713
-921.458163,277,55.776189
-4041.495509,500,57.309168
-410.744136,76,57.519787
-2798.369635,408,58.767414
-534.171892,99,59.085682
-618.407441,89,59.364202
-547.97046,81,59.583539
-588.010973,99,59.866508
-559.80133,112,60.203218
-1202.818257,279,61.072244
-918.036505,280,61.920954
-916.85653,233,62.61759
-394.362879,83,62.901599
-476.03665,90,63.209133
-574.987143,83,63.445579
-1016.368197,274,64.314688
-560.582729,108,64.694479
-723.230513,252,65.535582
-412.303598,75,65.846218
-492.714767,90,66.106493
-681.734103,122,66.506865
-580.896039,83,66.800324
-862.015768,403,68.112732
-582.84946,145,68.532497
-824.246952,136,68.953029
-2055.067025,414,70.291517
-2204.914722,402,71.588187
-448.902134,129,71.989958
-532.577294,85,72.228859
-2780.864015,502,73.892404
-790.860192,258,74.697073
-769.419523,140,75.170038
-2468.320744,556,77.069481
-440.933161,90,77.419149
-412.690695,84,77.664538
-637.924304,88,78.018554
-515.685038,110,78.416771
-612.442823,129,78.894892
-573.008328,97,79.258385
-532.438491,80,79.499467
-3483.961936,432,81.082936
-1212.559904,277,82.061212
-1539.937624,542,84.113908
-114.286768,117,84.572115
-135.562715,116,84.960227
-39.459394,165,85.495539
-178.724453,109,85.868333
-281.943584,112,86.262891
-150.207292,156,86.816578
-385.623554,144,87.291517
-33.490763,142,87.77014
-227.712068,132,88.271581
-53.199772,83,88.568119
-371.7644,110,88.954132
-196.055812,126,89.35719
-95.688771,176,89.895697
-223.875863,119,90.267641
-215.473239,111,90.622652
-83.346989,71,90.814186
-76.421198,88,91.122
-88.939159,156,91.651923
-154.408669,148,92.13683
-90.376663,121,92.457778
-46.826528,102,92.808571
-148.099134,164,93.421287
-163.996599,160,93.958416
-60.233138,104,94.33184
-75.040152,131,94.792781
-189.070479,85,95.022774
-104.568857,108,95.382951
-40.586016,92,95.724102
-108.704955,117,96.117236
-4.53369,83,96.332476
-222.874138,127,96.753081
-39.910198,102,97.165006
-34.866355,161,97.68727
-19.155345,108,98.051549
-83.854067,138,98.501564
-207.960683,130,98.950747
-37.753033,73,99.228264
-62.911496,145,99.697428
-100.315414,263,100.599736
-89.746437,106,100.965548
-179.652823,153,101.483951
-150.031187,124,101.898077
-129.009701,178,102.52747
-21.125757,87,102.775408
-132.143913,116,103.167656
-12.834181,201,103.839334
