#{"t_start": 1768914439.8524818, "env_id": "LunarLander-v3"}
r,l,t
-113.697886,58,2.15896
-94.622864,100,2.325761
-476.500744,91,2.465597
-359.036662,84,2.62213
-448.481455,101,2.791624
-271.826542,97,2.959568
-104.451396,101,3.105395
-116.035625,94,3.271709
-131.591304,87,3.42502
-116.148337,95,3.575688
-522.767715,116,3.752631
-86.433162,69,3.87365
-341.390948,81,4.011023
-76.087688,66,4.10829
-194.159735,101,4.289696
-175.295811,90,4.443921
-115.421589,94,4.590026
-69.10712,96,4.757045
-127.871904,102,4.940424
-224.511125,99,5.12537
-137.944311,100,5.308319
-222.914676,102,5.46346
-191.478402,85,5.608587
-280.736112,96,5.783768
-72.833188,74,5.888485
-100.406098,132,6.105166
-69.128453,64,6.225047
-191.538882,102,6.4083
-130.138877,156,6.658004
-160.902104,103,6.844209
-223.940729,163,7.10966
-101.991571,93,7.276598
-132.982715,106,7.443926
-184.850106,128,7.672944
-125.947197,109,7.859139
-84.975233,70,8.008336
-68.625242,70,8.108917
-89.292533,70,8.242379
-144.59531,94,8.412077
-3.422495,97,8.558499
-47.744633,72,8.689678
-119.111451,104,8.858563
-86.560451,82,8.991753
-79.949935,61,9.104348
-2.959176,83,9.271446
-115.587173,155,9.574295
-140.221421,92,9.728561
-264.523788,153,9.976466
-228.715154,127,10.210933
-89.671752,67,10.320627
-268.126324,93,10.493587
-115.403921,101,10.659402
-350.410342,116,10.876673
-106.464209,76,10.994159
-173.143394,113,11.189817
-115.368638,61,11.311145
-115.236683,99,11.45837
-91.967497,81,11.589855
-114.935378,91,11.765663
-201.88457,110,11.958098
-64.358407,75,12.071151
-197.810793,89,12.228628
-50.947827,73,12.329268
-189.435452,110,12.527305
-157.615574,83,12.679499
-16.029292,131,12.907915
-201.629601,100,13.08002
-141.53934,68,13.180292
-206.180031,129,13.391757
-174.627796,106,13.581041
-86.402915,93,13.75961
-52.802099,88,13.925941
-283.564602,118,14.116786
-184.192306,113,14.308217
-136.082677,90,14.469437
-83.829614,84,14.616052
-151.231488,90,14.742216
-361.753226,157,15.042463
-5.69774,97,15.183817
-54.662087,80,15.32503
-124.249668,100,15.508157
-295.975285,107,15.69749
-74.107831,102,15.880707
-68.530772,124,16.121885
-51.228174,101,16.30956
-191.974642,153,16.589995
-16.920177,101,16.756233
-115.591275,193,17.092268
36.85546,1000,18.738256
-46.409702,115,18.924975
-88.066132,113,19.130592
-209.863044,202,19.474394
-84.567158,124,19.674912
-59.766131,172,19.940428
-87.773835,123,20.161417
-197.179142,126,20.356543
-8.560647,144,20.608782
-1.76825,90,20.775469
-34.328487,104,20.958482
-64.911693,69,21.097882
-81.903495,81,21.365278
-216.347019,83,21.662036
-120.323285,163,22.157348
