#{"t_start": 1768659657.821673, "env_id": "LunarLander-v3"}
r,l,t
-123.710247,115,3.174828
-225.843268,106,3.507924
-110.071803,87,3.813192
-264.168257,76,4.060639
-98.594072,99,4.390419
-66.440573,137,4.775373
-137.968232,107,5.17536
-116.952547,106,5.495588
-208.1897,107,5.831069
-107.903165,59,5.973712
-283.288148,111,6.390178
-52.908894,83,6.664532
-442.166051,105,6.985287
-169.612829,137,7.450003
-205.49207,112,7.824511
-218.726197,95,8.136684
-242.301149,144,8.557075
-33.398505,106,8.894695
-104.704235,112,9.226348
-274.418718,102,9.578858
-128.210306,82,9.855277
-185.05883,125,10.272826
-97.920698,73,10.460829
-208.310177,80,10.748365
-1.729405,133,11.239544
-97.885031,112,11.600452
-101.968129,90,11.841428
-104.740401,72,12.113179
-195.363461,124,12.481285
-159.657589,124,12.920632
-364.771641,89,13.258154
-74.663098,78,13.45978
-82.278307,67,13.685122
-112.412765,62,13.869058
-333.262993,100,14.195835
-95.789668,105,14.516863
-304.420248,83,14.749532
-250.426056,151,15.273928
-126.6403,82,15.511048
-310.582945,104,15.895563
-92.094241,74,16.141354
-304.73343,127,16.568233
-117.137828,144,17.033876
-93.263949,82,17.269058
-124.944336,116,17.671391
-200.079418,119,18.108727
-99.214506,78,18.413349
-115.229583,88,18.71462
-341.560139,88,18.974078
-98.613618,56,19.201104
-161.032119,91,19.471823
-217.735138,129,19.872884
-85.23504,102,20.265848
-71.622638,74,20.532586
-62.981173,67,20.724726
-54.655761,127,21.12508
-133.086698,87,21.445989
-55.627541,84,21.717888
-90.708586,116,22.077382
-193.007569,94,22.341215
-116.660357,95,22.651575
-108.057664,63,22.85203
-58.804207,77,23.109031
-80.506725,69,23.367326
-114.906938,105,23.637837
-145.18781,85,23.926442
-95.251557,128,24.35799
31.90517,139,24.790562
-169.432238,119,25.175542
-124.011655,95,25.469495
-187.85648,123,25.880946
-276.244924,120,26.28229
-99.162099,108,26.601698
-199.905176,85,26.824784
-113.000993,83,27.073246
-111.964158,130,27.469238
-106.164367,73,27.702846
-61.419583,84,27.941251
-97.356336,78,28.247506
-122.974023,136,28.648231
-39.640334,105,28.975643
-167.314112,144,29.416255
-60.517036,82,29.638015
-72.787453,84,29.944717
-51.960421,115,30.360634
-142.386763,104,30.733343
-99.203552,136,31.146284
-139.053882,180,31.635252
-100.573082,127,31.901195
-175.474405,110,32.092488
-138.238127,141,32.333869
-160.567089,120,32.515761
-99.130718,94,32.684145
-99.277992,106,32.875218
-270.184364,135,33.100713
-64.513334,94,33.256541
-128.539583,113,33.413503
-143.705991,187,33.735959
-60.533745,93,33.902293
-46.695963,110,34.04833
-226.938349,139,34.300981
-194.950803,178,34.579747
-59.455426,88,34.71824
-286.520879,162,34.982927
-261.138019,155,35.215415
-190.150366,146,35.470104
-108.403087,154,35.73686
-2.200708,86,35.885014
-86.690968,120,36.185209
-55.302304,86,36.48492
-267.203957,131,36.901455
-139.552106,118,37.234158
-456.302356,194,37.810429
-101.743857,101,38.162604
-66.056147,95,38.433864
-346.864341,126,38.836874
-81.717935,80,39.05551
-134.879124,183,39.595054
-127.392655,168,40.077894
-82.876555,123,40.437388
-231.528683,196,41.040823
-76.012898,69,41.248664
-67.434728,106,41.596335
-76.704859,179,42.12424
-222.642416,147,42.541823
-95.979835,139,43.027157
-103.270875,80,43.224612
-311.661425,147,43.531435
-75.54621,126,43.749229
-157.800712,140,43.993715
-72.66786,76,44.116734
-39.190651,85,44.269058
-265.045414,165,44.534123
-323.438368,227,44.901245
-71.802794,180,45.205652
