#{"t_start": 1768659366.2444131, "env_id": "LunarLander-v3"}
r,l,t
-137.550112,76,2.74967
-132.175511,156,3.028388
-105.303891,76,3.188354
-340.082016,86,3.35008
-206.16703,72,3.462964
-284.696563,138,3.707159
-139.81522,103,3.898298
-263.711905,130,4.114618
-99.175646,101,4.313637
-281.754406,98,4.487237
-56.862476,65,4.580553
-189.376789,97,4.782907
-241.763471,121,4.999285
-96.27599,73,5.121143
-503.348437,101,5.299643
-260.456358,110,5.499548
-97.548879,91,5.668798
-141.711336,75,5.803129
-114.972663,92,5.970129
-331.439336,94,6.186894
-387.034779,104,6.402966
-61.885234,68,6.555529
-112.610187,76,6.684798
-158.145588,158,6.946993
-117.074194,89,7.119769
-94.023828,57,7.206183
-77.621043,126,7.428841
-150.416885,80,7.58513
-111.626617,79,7.717952
-259.48202,127,7.93439
-93.379872,62,8.067405
-113.687632,88,8.213695
-242.85095,102,8.407243
-294.598552,88,8.586248
-101.171698,91,8.759974
-136.712319,94,8.917944
-387.371221,118,9.135432
-141.156342,96,9.329964
-315.587421,100,9.51825
-38.656913,156,9.783366
-84.317247,74,9.935301
-97.364454,84,10.083052
-154.572332,114,10.298964
-224.964784,77,10.451679
-84.033518,80,10.584661
-139.735203,86,10.7505
-486.202768,151,11.033114
-284.33573,146,11.284578
-176.882875,152,11.600151
-303.44451,138,11.83492
-236.136081,118,12.050969
-85.830787,142,12.315732
-107.197176,96,12.467417
-99.627796,92,12.650742
-93.715652,93,12.840516
-145.022406,133,13.098375
-117.092918,101,13.29984
-90.821541,85,13.434549
-101.711431,125,13.668668
-49.613806,78,13.83444
-37.379313,150,14.102036
-214.938137,113,14.317316
-95.255156,73,14.468533
-412.004175,130,14.716976
-175.182297,105,14.890286
-115.460663,149,15.186368
-54.466517,66,15.299184
-70.955398,124,15.625994
-77.873845,98,15.894423
-175.20107,77,16.047196
-131.677611,90,16.267675
-86.724866,129,16.586805
-171.164751,98,16.813486
-120.052718,108,17.082493
-143.733786,137,17.400137
-161.818106,77,17.575509
-77.959854,75,17.760969
-111.348881,100,17.999415
-146.882308,80,18.185725
-455.489533,125,18.47514
-186.109748,186,18.930002
-134.266594,161,19.321757
-136.143772,119,19.611749
-137.506211,108,19.862941
-53.559322,79,20.059736
-75.609907,89,20.245743
25.362105,97,20.480827
-51.863643,111,20.747519
-128.966216,97,20.998537
-272.484203,142,21.348934
-895.577591,306,22.599935
-1174.45286,385,23.623075
-943.371358,246,24.215735
