#{"t_start": 1768659657.793237, "env_id": "LunarLander-v3"}
r,l,t
-134.73675,93,3.157206
-117.607255,81,3.42088
-290.438673,104,3.754473
-126.472233,76,4.000557
-191.868652,113,4.387111
-116.082598,73,4.612213
-329.824295,102,4.955964
-107.87724,110,5.267231
-188.011259,78,5.524024
-130.455601,68,5.747052
-312.648352,80,5.957074
-87.46224,75,6.221097
-390.453422,98,6.514539
-241.947914,105,6.852262
-159.062281,149,7.331393
-130.186576,77,7.605952
-258.057699,85,7.910192
-125.068147,112,8.32249
-328.581273,77,8.521713
-231.676178,86,8.792646
-263.451879,121,9.143344
45.308166,81,9.356733
-99.756173,102,9.719138
-48.797496,73,9.991978
-108.460701,98,10.313037
-112.98034,99,10.570276
-104.079682,60,10.808689
-182.931735,127,11.277597
-92.440035,72,11.484425
-65.960753,90,11.773048
-139.534072,82,12.061441
-154.75943,103,12.405902
-156.793189,118,12.700328
-117.722155,119,13.163652
-228.562731,78,13.424792
-92.702939,92,13.713558
-191.106338,132,14.144956
-488.446419,184,14.68942
-105.986659,97,15.022999
-90.349624,125,15.407745
-83.926018,103,15.792209
-347.317318,103,16.127553
-54.206345,64,16.307365
-77.275482,81,16.612718
-81.291867,78,16.839818
-133.398853,88,17.126644
-122.846879,103,17.509576
-104.265286,90,17.779711
-95.258868,95,18.131353
-109.56163,137,18.601601
-120.137664,63,18.827592
-159.233634,132,19.27678
-84.120945,69,19.497302
-120.269724,99,19.806091
-150.414434,118,20.222414
-250.831418,145,20.703878
-92.108353,74,20.978489
-221.488094,123,21.361964
-228.392258,133,21.795557
-11.877875,92,22.032065
-114.760633,100,22.369651
-167.833858,97,22.690247
-44.311216,80,22.978533
-128.25011,78,23.201097
-244.261642,88,23.493996
-257.589315,104,23.835306
-165.229999,125,24.261022
-102.177103,92,24.498484
-87.933282,59,24.707898
-69.863155,74,24.913985
-94.382545,73,25.174227
-124.750719,91,25.462743
-101.049554,82,25.68619
-164.042298,115,26.084874
-68.402159,80,26.357817
-200.157223,103,26.672664
-168.702651,106,26.991579
-216.027743,106,27.25277
-117.181511,90,27.539232
-120.062201,97,27.842712
-86.542018,94,28.203185
-519.749057,154,28.660727
-86.780738,70,28.85286
-310.995992,102,29.155449
-198.656561,97,29.492711
-101.167461,186,30.091131
-157.118844,121,30.532306
-277.903451,216,31.208004
-118.318061,157,31.646427
-83.209582,78,31.847026
-88.853363,89,32.007787
-61.653379,71,32.113104
-71.251119,83,32.265201
-161.749477,93,32.402172
-108.315219,100,32.560113
-90.722384,144,32.805301
-68.174585,125,33.010644
-247.592782,156,33.284976
-64.016398,85,33.411173
-60.104737,89,33.562691
-109.072444,83,33.71362
-105.582704,198,34.028995
-47.555084,115,34.212433
-66.146327,116,34.396145
-95.536446,61,34.482694
-77.260522,106,34.661267
-207.080723,108,34.829736
-262.911686,125,35.029696
-90.957716,113,35.213099
-82.253018,153,35.466409
-109.651578,96,35.648891
-190.34657,177,35.929922
-98.325522,80,36.130839
-208.135827,222,36.891551
-139.541828,101,37.121388
-336.028034,188,37.727212
-107.098931,112,38.11635
-263.991231,173,38.594576
-383.835026,233,39.310584
-188.550979,207,39.935061
-70.436625,212,40.52108
-48.965774,108,40.84098
-275.524865,197,41.488134
-85.435921,125,41.90765
-133.073117,188,42.425072
-18.676529,156,42.887112
-188.131268,160,43.36425
-41.895553,93,43.528439
-58.607905,117,43.741884
-157.775953,112,43.944395
-115.92482,95,44.108049
-293.133475,159,44.344668
-132.516206,153,44.594411
-14.895357,132,44.809821
-27.741443,121,45.014011
-162.685192,189,45.350867
-20.426252,158,45.612238
-205.82585,107,45.794522
-240.343965,197,46.095093
-153.37218,191,46.41905
-180.788555,196,46.710349
-107.000783,142,46.93898
-460.228736,176,47.201378
-200.000266,133,47.395603
-79.619981,136,47.580061
-22.301651,204,47.876351
-63.375729,207,48.228541
-34.948697,198,48.568619
-61.154615,200,48.879499
-284.145568,203,49.212978
-250.074649,155,49.445962
-244.556429,99,49.61317
-211.291233,178,49.899883
-56.041357,125,50.095313
-97.912779,169,50.359295
34.721673,118,50.545954
-94.83939,148,50.798286
-51.061782,217,51.175198
-13.319596,125,51.380188
18.986961,149,51.637218
-49.441248,110,51.837239
-121.64542,181,52.146892
-64.616534,223,52.496166
-344.876115,101,53.613
-324.602954,99,53.79532
-212.409876,113,54.017083
-257.041026,74,54.148249
-194.379429,83,54.260051
-257.411048,75,54.407937
-172.795483,89,54.54617
-340.369007,96,54.708357
-326.374936,71,54.846844
-261.964446,86,54.99199
-338.457315,90,55.143939
-429.234783,73,55.29071
-247.8942,83,55.427974
-217.028519,106,55.625128
-476.339588,98,55.79918
-190.232282,90,55.94722
-100.188912,95,56.091631
-241.45094,99,56.276166
-199.374634,71,56.408365
-303.207464,84,56.524889
-231.789804,78,56.680229
-269.6629,71,56.814029
-213.189042,91,56.961439
-271.024768,68,57.080058
-215.204927,96,57.249518
-451.201134,72,57.346323
-238.032409,59,57.46951
-346.794555,90,57.610644
-395.403574,73,57.746035
-444.361782,60,57.826692
-373.57278,69,57.96372
-240.012157,67,58.058409
-320.631687,57,58.16373
-506.272099,92,58.334911
-316.605894,78,58.461424
-485.880196,73,58.598339
-314.428994,75,58.708664
-265.000845,72,58.830358
-330.044986,84,58.985608
-257.787174,91,59.126541
-323.383757,126,59.345505
-271.434861,103,59.528299
-292.443076,56,59.607291
-340.421657,70,59.728536
-408.520512,89,59.895789
-295.206758,78,60.009882
-328.955609,77,60.151284
-350.063557,119,60.351599
-97.360802,106,60.532602
-266.537383,67,60.638291
-375.099437,80,60.780139
-334.309831,61,60.859851
-317.602112,86,61.028301
-382.345903,75,61.152496
-332.567857,78,61.276021
-283.177135,69,61.396947
-308.08638,98,61.540926
-320.554789,91,61.709188
-288.247429,59,61.82436
-328.888272,66,61.925354
-209.117934,115,62.122241
-208.347599,57,62.2228
-460.334311,78,62.359312
-247.157808,58,62.466732
-373.412279,61,62.561541
-402.800216,69,62.699931
-443.142165,113,62.856693
-470.642381,81,63.013526
-424.014775,78,63.1512
-415.091844,85,63.274914
-283.349981,96,63.445144
-338.639498,63,63.564324
-446.109048,77,63.674963
-307.113605,71,63.812976
-524.14677,71,63.919772
-258.994427,90,64.07427
-351.646205,90,64.229853
-440.592244,79,64.34023
-269.584564,91,64.510294
-375.157118,109,64.696485
-437.146515,82,64.850666
-402.327209,80,64.961766
-236.820785,89,65.12995
-593.076461,93,65.281158
-470.215343,114,65.462343
-249.020396,59,65.562053
-354.031925,86,65.714227
-322.763027,95,65.858985
-565.329143,89,66.028964
-323.557889,95,66.213315
-359.605041,84,66.339313
-461.416591,68,66.478552
-212.235064,92,66.640313
-298.908102,91,66.762625
-462.488403,81,66.920681
-496.613804,79,67.060068
-410.372976,86,67.174543
-304.941127,96,67.344735
-441.79395,94,67.512414
-335.778957,84,67.639783
-275.585772,89,67.798429
-327.063332,70,67.92943
-333.653323,71,68.027533
-180.138543,77,68.163801
-252.269287,86,68.332264
-452.4277,85,68.462798
-332.966324,87,68.611665
-352.387462,81,68.756402
-384.230714,87,68.880582
-304.798242,80,69.029919
-524.749781,94,69.196337
-511.955817,83,69.309493
-259.386902,66,69.445569
-280.966391,69,69.543563
-500.553472,116,69.74209
-234.62658,70,69.865955
-385.218439,57,69.945439
-404.532998,83,70.096446
-403.271623,88,70.22311
-266.363631,64,70.344922
-349.940653,63,70.446994
-332.335684,103,70.641733
-352.89474,80,70.780342
-258.634152,63,70.883233
-563.091891,96,71.045894
-356.413639,68,71.170959
-300.443379,75,71.274686
-493.071976,101,71.460367
-272.273823,84,71.612414
-336.577961,70,71.709495
-365.865433,95,71.883395
-436.540139,67,72.004652
-237.409891,72,72.111783
-361.65868,61,72.213943
-253.869637,113,72.391224
-213.75857,116,72.590299
-393.815323,62,72.707001
-227.530931,92,72.865391
-278.865221,60,72.94594
-494.976634,90,73.113224
-456.997522,111,73.297804
-294.252719,58,73.380035
-553.67441,85,73.529446
-627.616738,92,73.669915
-321.097934,67,73.780288
-529.715198,95,73.956643
-571.129355,84,74.075611
-542.041796,102,74.243745
-379.169655,83,74.413429
-432.128332,91,74.579664
-393.838783,72,74.689789
-376.089685,88,74.829312
-316.82891,75,74.945637
-437.85763,71,75.08615
-329.657546,65,75.17465
-485.118131,87,75.327321
-257.784099,59,75.42958
-285.107025,85,75.559277
-503.465748,83,75.713248
-362.461238,68,75.810384
-356.647301,81,75.9613
-415.145529,81,76.106723
-386.747812,81,76.227239
-576.015099,78,76.362326
-577.589117,102,76.529282
-259.863623,80,76.658429
-292.887334,70,76.779348
-352.675904,96,76.945987
-432.923453,86,77.076499
-350.934414,99,77.243278
-415.070594,93,77.413401
-243.399172,85,77.526315
-205.960395,91,77.692241
-464.860553,91,77.851625
-383.882441,67,77.945065
-304.086815,74,78.078136
-286.371472,71,78.213744
-424.950113,72,78.311405
-418.720391,78,78.463219
-507.002602,78,78.577382
-399.062828,93,78.72828
-404.071978,81,78.886936
-506.385251,85,79.010233
-624.236078,104,79.17903
-576.779919,81,79.326731
-283.90236,65,79.426711
-590.478285,92,79.579174
-302.416252,94,79.752976
-312.914629,74,79.858185
-335.903216,93,80.012762
-469.095541,99,80.179978
-245.385775,77,80.290917
-483.429918,80,80.445572
-326.663231,70,80.563376
-311.96475,106,80.723387
-312.099498,93,80.895526
-455.19192,108,81.081048
-360.1546,70,81.197573
-346.710107,70,81.310125
-239.979311,73,81.441534
-408.20987,85,81.568451
-151.73113,106,81.742952
-249.912007,59,81.864664
-232.394001,64,81.944662
-241.869507,75,82.082336
-250.506805,87,82.224421
-281.480733,79,82.361124
-446.333331,85,82.512544
-208.358911,74,82.646103
-324.972693,58,82.7615
-349.971699,58,82.844065
-270.443098,89,83.013092
-381.321198,67,83.108805
-447.419795,92,83.29267
-287.132307,87,83.453996
-261.677836,80,83.574977
-338.120286,66,83.710952
-293.99478,85,83.863205
-350.590389,67,83.977611
-504.18743,72,84.119207
-424.303277,82,84.241813
-262.474228,80,84.398579
-440.056947,64,84.494024
-319.32835,92,84.662515
-512.450248,86,84.823477
-330.766817,80,84.946102
-424.397738,86,85.096243
-393.677732,71,85.237214
-401.746959,97,85.397742
-545.996001,94,85.559971
-308.300465,66,85.687752
-405.728889,75,85.801656
-232.757402,123,86.008918
-434.016982,73,86.146248
-169.932965,108,86.347041
-464.29503,107,86.511308
-310.768652,63,86.631541
-337.688714,87,86.806347
-480.441513,98,86.945211
-346.153578,75,87.086521
-607.269619,103,87.277452
-550.081564,77,87.399506
-349.390275,73,87.528459
-346.047115,80,87.698509
-226.359067,91,87.843524
-302.453202,127,88.058719
-219.717804,106,88.242596
-286.513877,102,88.409514
-448.384385,116,88.596649
-415.290483,132,88.796637
-278.209005,203,89.107888
-342.273562,89,89.259898
-237.024437,105,89.451144
-240.800605,94,89.623184
-306.173742,115,89.816802
-223.57835,153,90.061478
-180.311123,171,90.326161
-141.632779,147,90.567947
-155.958613,163,90.846343
71.434627,1000,92.50158
