Model,Row,Col,Angle,Force,Success
PPO (Visible),0,0,135,5.0,1
PPO (Visible),0,0,135,10.0,1
PPO (Visible),0,0,135,10.0,1
PPO (Visible),0,0,135,10.0,0
PPO (Visible),0,0,135,10.0,1
PPO (Visible),0,0,135,10.0,1
PPO (Visible),0,0,135,10.0,0
PPO (Visible),0,0,135,10.0,0
PPO (Visible),0,0,135,10.0,1
PPO (Visible),0,0,135,10.0,0
PPO (Visible),0,0,135,10.0,0
PPO (Visible),0,0,135,15.0,0
PPO (Visible),0,0,135,15.0,0
PPO (Visible),0,0,135,15.0,0
PPO (Visible),0,0,135,15.0,1
PPO (Visible),0,0,135,15.0,0
PPO (Visible),0,0,135,15.0,0
PPO (Visible),0,0,135,15.0,0
PPO (Visible),0,0,135,15.0,0
PPO (Visible),0,0,135,15.0,0
PPO (Visible),0,0,135,15.0,0
PPO (Visible),0,0,180,0.0,1
PPO (Visible),0,0,180,0.0,1
PPO (Visible),0,0,180,0.0,1
PPO (Visible),0,0,180,0.0,0
PPO (Visible),0,0,180,0.0,1
PPO (Visible),0,0,180,0.0,1
PPO (Visible),0,0,180,0.0,0
PPO (Visible),0,0,180,0.0,0
PPO (Visible),0,0,180,0.0,0
PPO (Visible),0,0,180,0.0,1
PPO (Visible),0,0,180,5.0,0
PPO (Visible),0,0,180,5.0,0
PPO (Visible),0,0,180,5.0,1
PPO (Visible),0,0,180,5.0,0
PPO (Visible),0,0,180,5.0,0
PPO (Visible),0,0,180,5.0,0
PPO (Visible),0,0,180,5.0,0
PPO (Visible),0,0,180,5.0,0
PPO (Visible),0,0,180,5.0,0
PPO (Visible),0,0,180,5.0,1
PPO (Visible),0,0,180,10.0,0
PPO (Visible),0,0,180,10.0,0
PPO (Visible),0,0,180,10.0,0
PPO (Visible),0,0,180,10.0,0
PPO (Visible),0,0,180,10.0,0
PPO (Visible),0,0,180,10.0,0
PPO (Visible),0,0,180,10.0,0
PPO (Visible),0,0,180,10.0,1
PPO (Visible),0,0,180,10.0,1
PPO (Visible),0,0,180,10.0,1
PPO (Visible),0,0,180,15.0,0
PPO (Visible),0,0,180,15.0,1
PPO (Visible),0,0,180,15.0,0
PPO (Visible),0,0,180,15.0,0
PPO (Visible),0,0,180,15.0,0
PPO (Visible),0,0,180,15.0,0
PPO (Visible),0,0,180,15.0,0
PPO (Visible),0,0,180,15.0,0
PPO (Visible),0,0,180,15.0,0
PPO (Visible),0,0,180,15.0,0
PPO (Visible),0,0,225,0.0,1
PPO (Visible),0,0,225,0.0,0
PPO (Visible),0,0,225,0.0,0
PPO (Visible),0,0,225,0.0,1
PPO (Visible),0,0,225,0.0,1
PPO (Visible),0,0,225,0.0,0
PPO (Visible),0,0,225,0.0,0
PPO (Visible),0,0,225,0.0,0
PPO (Visible),0,0,225,0.0,1
PPO (Visible),0,0,225,0.0,1
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,5.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,10.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,225,15.0,0
PPO (Visible),0,0,270,0.0,0
PPO (Visible),0,0,270,0.0,1
PPO (Visible),0,0,270,0.0,1
PPO (Visible),0,0,270,0.0,0
PPO (Visible),0,0,270,0.0,0
PPO (Visible),0,0,270,0.0,0
PPO (Visible),0,0,270,0.0,1
PPO (Visible),0,0,270,0.0,1
PPO (Visible),0,0,270,0.0,0
PPO (Visible),0,0,270,0.0,0
PPO (Visible),0,0,270,5.0,0
PPO (Visible),0,0,270,5.0,0
PPO (Visible),0,0,270,5.0,0
PPO (Visible),0,0,270,5.0,0
