Model,Row,Col,Angle,Force,Success
LSTM (Latent),1,1,135,6.6,1.0
LSTM (Latent),1,1,135,10.0,1.0
LSTM (Latent),1,1,180,0.0,1.0
LSTM (Latent),1,1,180,3.3,1.0
LSTM (Latent),1,1,180,6.6,0.96
LSTM (Latent),1,1,180,10.0,0.96
LSTM (Latent),1,1,225,0.0,1.0
LSTM (Latent),1,1,225,3.3,0.92
LSTM (Latent),1,1,225,6.6,0.96
LSTM (Latent),1,1,225,10.0,0.96
LSTM (Latent),1,1,270,0.0,1.0
LSTM (Latent),1,1,270,3.3,0.88
LSTM (Latent),1,1,270,6.6,1.0
LSTM (Latent),1,1,270,10.0,0.88
LSTM (Latent),1,1,315,0.0,1.0
LSTM (Latent),1,1,315,3.3,1.0
LSTM (Latent),1,1,315,6.6,0.92
LSTM (Latent),1,1,315,10.0,0.84
SAC (Latent),1,2,0,0.0,0.0
SAC (Latent),1,2,0,3.3,0.0
SAC (Latent),1,2,0,6.6,0.0
SAC (Latent),1,2,0,10.0,0.0
SAC (Latent),1,2,45,0.0,0.0
SAC (Latent),1,2,45,3.3,0.0
SAC (Latent),1,2,45,6.6,0.04
SAC (Latent),1,2,45,10.0,0.48
SAC (Latent),1,2,90,0.0,0.0
SAC (Latent),1,2,90,3.3,0.0
SAC (Latent),1,2,90,6.6,0.0
SAC (Latent),1,2,90,10.0,0.16
SAC (Latent),1,2,135,0.0,0.0
SAC (Latent),1,2,135,3.3,0.0
SAC (Latent),1,2,135,6.6,0.0
SAC (Latent),1,2,135,10.0,0.04
SAC (Latent),1,2,180,0.0,0.0
SAC (Latent),1,2,180,3.3,0.0
SAC (Latent),1,2,180,6.6,0.0
SAC (Latent),1,2,180,10.0,0.0
SAC (Latent),1,2,225,0.0,0.0
SAC (Latent),1,2,225,3.3,0.0
SAC (Latent),1,2,225,6.6,0.0
SAC (Latent),1,2,225,10.0,0.04
SAC (Latent),1,2,270,0.0,0.0
SAC (Latent),1,2,270,3.3,0.0
SAC (Latent),1,2,270,6.6,0.0
SAC (Latent),1,2,270,10.0,0.0
SAC (Latent),1,2,315,0.0,0.0
SAC (Latent),1,2,315,3.3,0.0
SAC (Latent),1,2,315,6.6,0.04
SAC (Latent),1,2,315,10.0,0.56
