rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,robustness/avg_impact_vel,robustness/cvar_5_percent
95.0,4034,460,0,-256.42105625,4,,,,,,,,
102.875,4522,916,0,-203.728371125,8,,,,,,,,
104.75,3425,1376,0,-227.15034074999997,12,,,,,,,,
104.0625,1613,1856,1,-236.30259949999999,16,50,104.83110385894776,0.0003,-0.024720790944993496,-0.7152077054977417,0.9926856505870819,,
107.9,1779,2276,1,-235.35852764999996,20,,,,,,,,
105.41666666666667,1358,2640,1,-239.26038679166666,24,100,103.66006981849671,0.0003,-0.07506434194743633,-0.3287016589567065,0.9779047787189483,,
105.53571428571429,1476,3044,2,-244.35556417857146,28,,,,,,,,
103.625,1275,3568,2,-239.87296450000002,32,150,90.02996257781983,0.0003,-0.12509062975645066,0.2027907694876194,0.9633596444129944,,
107.47222222222223,1153,4044,3,-229.02486238888892,36,200,96.4622893333435,0.0003,-0.17350463539361954,0.2845494727790356,0.9490737593173981,0.5439408,-506.603303
109.725,1248,4660,3,-230.66493717500003,40,,,,,,,,
109.5,1132,5024,4,-226.8954977954546,44,250,90.9821912765503,0.0003,-0.21965318232774733,0.5912988437712192,0.9351160800457001,,
111.47916666666667,1087,5692,5,-226.85815650000004,48,300,68.77778128623963,0.0003,-0.26493385702371597,0.6808908426016569,0.9214741742610931,,
112.96153846153847,1125,6076,5,-231.01848973076923,52,,,,,,,,
114.92857142857143,1067,6624,6,-231.54280530357144,56,350,72.66076496124268,0.0003,-0.30864076673984525,0.9789990840852261,0.9081050598621369,,
115.38333333333334,1099,6964,6,-225.90239555000002,60,,,,,,,,
116.03125,1067,7504,7,-224.246399375,64,400,59.30693192481995,0.0003,-0.35279472649097443,0.9085749845206738,0.8949973046779632,,
117.70588235294117,1063,8156,7,-225.76344794117648,68,450,58.47494092941284,0.0003,-0.38795107245445254,1.1303405040502548,0.8821782147884369,0.39852595,-522.391569
119.15277777777777,1110,8780,7,-221.5437349027778,72,,,,,,,,
120.77631578947368,1100,9328,8,-229.6388800526316,76,500,55.98691192626953,0.0003,-0.4295459645986557,1.5810355097055435,0.869696763753891,,
123.25,1117,10192,9,-227.6515904625,80,550,51.37858170509338,0.0003,-0.4701357966661453,1.6635078299045563,0.8574147725105286,,
127.13095238095238,1116,10872,9,-230.12924329761907,84,600,42.90815934181214,0.0003,-0.5133870130777359,1.8368108522892,0.8452762126922607,,
130.23863636363637,1123,11664,10,-231.06371556818183,88,650,44.17966360092163,0.0003,-0.5512110900878906,2.046946488618851,0.8332904815673828,,
131.29347826086956,1113,12212,10,-231.27640804347823,92,700,38.567650504112244,0.0003,-0.5849422442913056,2.2253709304332734,0.82152477145195,0.34648162,-560.53816
132.42708333333334,1119,13004,11,-227.16495991666667,96,750,29.60920473575592,0.0003,-0.624172888994217,2.302528660297394,0.8100424468517303,,
134.16,1155,13588,11,-228.54578884999998,100,,,,,,,,
135.99,1148,14192,12,-225.72154913000003,104,800,30.6986243724823,0.0003,-0.6622416853904725,2.7613472294807435,0.7986777257919312,,
136.93,1141,14812,12,-228.82266342000003,108,850,27.2369286775589,0.0003,-0.7043529379367829,2.7271259129047394,0.7874483215808868,,
139.4,1138,15472,13,-226.45427791999998,112,900,24.794620451927184,0.0003,-0.741902322769165,3.0024524223804474,0.7763879704475403,,
144.5,1137,16184,14,-226.25991728999998,116,950,22.699599542617797,0.0003,-0.7836341667175293,2.703995225429535,0.7654266571998596,0.30017227,-540.799618
145.11,1145,17036,14,-222.47932513,120,1000,26.650384302139283,0.0003,-0.8168821358680725,3.0020134592056276,0.7546167528629303,,
148.23,1170,17556,14,-222.51779919,124,,,,,,,,
152.26,1148,18464,16,-222.00250411000002,128,1100,19.020718717575072,0.0003,-0.8874748706817627,3.0911618161201475,0.7335482478141785,,
155.74,1176,19084,16,-221.06036017,132,,,,,,,,
155.97,1171,19696,16,-222.08262827000001,136,1150,20.982859382629396,0.0003,-0.9206383848190307,3.7225874948501585,0.7232933270931244,,
159.24,1176,20512,17,-219.83775354000002,140,1200,19.869136238098143,0.0003,-0.9569013392925263,3.4397271418571473,0.7132003653049469,0.20807217,-529.5892362000001
163.66,1179,21296,18,-221.29904258,144,1250,23.56756134033203,0.0003,-0.9847693645954132,4.060681972503662,0.703257268667221,,
166.91,1192,22340,18,-221.53537190999995,148,1300,20.99214600563049,0.0003,-1.0125803124904633,3.946956946849823,0.6935357248783112,,
169.18,1192,23084,19,-217.20865686999997,152,1350,19.555000143051146,0.0003,-1.0457043254375458,4.209640648365021,0.6839766609668732,,
172.45,1173,24016,20,-214.10890441000004,156,1450,19.197169094085694,0.0003,-1.1023012614250183,4.266032118797302,0.6652721309661865,0.18376888,-475.3723988
184.23,1180,25756,21,-213.979556,160,1550,20.428735179901125,0.0003,-1.1491028928756715,4.437999596595764,0.6473274874687195,,
190.5,1181,27212,23,-213.64294618999998,164,1650,18.45357271194458,0.0003,-1.2102618265151976,4.945522673130036,0.6299662876129151,,
199.04,1190,28220,23,-209.91729795,168,1700,18.97236415863037,0.0003,-1.2450821685791016,4.802028431892395,0.6214280045032501,0.1796332,-462.83043639999994
203.56,1204,29412,24,-207.61972499000004,172,1750,20.3774374961853,0.0003,-1.280584635734558,4.608145823478699,0.6129807209968567,,
206.23,1202,30112,25,-198.09723323999995,176,1800,19.39502317905426,0.0003,-1.2824931120872498,5.021589703559876,0.6046704518795013,,
