#{"t_start": 1768914618.9224544, "env_id": "LunarLander-v3"}
r,l,t,impact_vel
-94.149618,115,3.09824,1.0501936e-07
-321.001984,114,3.186763,1.0978917
-185.65573,94,3.356615,0.21733634
-74.68205,110,4.093389,0.44639418
-421.510251,87,4.205174,1.7092421
-345.345802,89,4.871251,0.73198026
-131.588918,133,5.024279,0.047413014
-67.292724,83,5.7012,0.6819312
-148.377864,123,5.84544,0.20355259
-106.771253,108,6.551545,0.35461655
-333.898729,139,6.759865,0.22515103
-598.725954,239,8.242588,0.11085046
-127.068229,113,8.43325,0.6099767
-340.398974,179,9.289597,0.30949348
-95.634163,106,9.97002,0.108201906
-341.695264,178,10.617696,0.16033454
-10.05306,138,10.822878,0.16600882
-646.464946,181,11.459316,0.5488314
-108.980463,219,12.104461,0.33697268
-310.27156,145,12.692167,0.19106348
-401.700124,192,13.332569,0.023171222
-304.29269,168,13.949758,0.071519814
-77.708695,172,14.569871,0.4265301
-343.79039,172,14.74674,0.37599933
-31.934966,151,15.343735,0.41571316
-318.969763,128,15.927207,0.25287956
-264.647123,316,16.703234,0.036395017
-217.993172,96,17.255328,0.005101288
-228.946995,113,17.802691,3.7179e-08
-265.777762,188,17.977228,0.11087348
-325.012056,123,18.53286,0.18104532
-330.375087,168,19.127033,0.030711114
-268.749576,174,19.726662,0.038926747
-242.771322,193,20.343002,0.17320254
-112.335247,243,21.005194,0.45235604
-185.204411,192,21.628108,0.068677
-63.65629,124,22.185811,2.6399297e-08
-142.124007,212,22.831321,0.11837956
-185.615741,473,24.192765,0.11139236
-228.946376,274,24.910444,0.020763624
-135.268408,435,26.198442,0.06197865
-73.308404,213,27.283985,0.07442833
-237.821588,256,27.965565,0.02463216
-235.523606,216,28.608818,0.071436636
-208.03955,323,29.79474,0.052380394
-16.511578,256,30.475017,0.0250957
-78.164282,322,31.214722,0.19692345
66.570547,1000,34.356127,4.9060973e-06
-361.020541,470,36.119239,0.033867057
-44.902624,456,37.422245,0.1959781
-105.447442,372,38.638455,0.18582283
-157.697673,826,41.147569,0.036884543
-71.591437,1000,44.253665,0.118990675
-129.042202,797,46.732898,0.1508539
49.279204,1000,49.844397,0.00014879361
-123.592818,995,55.177107,0.10851184
-121.39273,684,59.312608,0.049104113
-77.022735,859,65.781832,0.07974812
-75.983683,1000,72.080917,0.13243498
-93.141463,1000,78.635535,0.016463738
-61.613505,1000,85.185495,0.085635275
37.655247,1000,91.770646,4.339312e-05
-54.72153,1000,98.434289,0.0016286423
-67.559015,850,103.745193,0.085481554
-14.02,1000,109.874278,0.0050026556
-48.63896,1000,115.956274,0.025160814
-17.248662,1000,123.72474,0.027877904
-12.723502,1000,133.997887,0.0059356336
2.760397,1000,141.411774,0.022331815
-24.437029,1000,147.98866,0.05133491
7.315718,1000,154.800269,0.0042269025
-18.955643,1000,160.838848,0.027783789
4.356923,1000,167.325093,0.006524993
-45.156787,1000,171.532809,0.018505119
-3.946312,1000,175.07449,0.0269376
-65.368827,1000,178.491164,0.042989146
16.396328,1000,183.684771,0.007787698
-37.191616,1000,189.175514,0.008930085
93.436812,670,195.892706,0.17182669
84.331556,288,196.967063,0.011650379
52.232101,425,198.989488,0.051052146
123.943345,281,200.717317,0.44954446
96.831668,185,201.710172,0.13024764
496.205838,81,201.894656,4.5463923e-05
410.242901,101,202.670615,1.0353143
230.116053,77,202.897703,0.06309892
309.019643,84,203.13744,0.18589668
491.291375,80,203.907971,0.09359859
486.644186,83,204.145744,0.22226249
584.093504,90,204.945878,0.4556417
553.087367,79,205.172725,0.46152288
430.906813,97,205.990125,0.13048454
473.383475,65,206.182045,1.126348
388.620679,68,206.375816,0.3345745
280.860731,81,207.162192,0.02162058
530.193071,74,207.37239,0.0126568815
500.285932,98,208.193625,0.032632895
413.480281,74,208.404737,0.9494367
326.832798,69,208.598634,0.058602687
473.687839,207,209.730528,0.7198388
371.563718,65,210.457599,0.26814494
571.578196,85,210.700032,0.022336122
686.245121,83,210.935525,0.9414347
521.75035,172,211.983886,0.007782415
432.432165,61,212.700321,0.040926203
644.553958,83,212.943532,0.15341006
557.10224,80,213.171478,0.06857692
582.423268,69,213.910537,0.026830984
449.655762,59,214.097625,0.8489776
436.549329,62,214.273336,0.6445459
511.189714,68,215.023146,0.5766472
543.866914,104,215.317598,0.05014237
479.14143,65,216.046374,0.1117952
775.625274,84,216.285095,0.017685326
525.107554,83,216.521324,0.13172464
675.94375,77,217.299742,0.009601902
575.761627,80,217.527499,0.31011298
483.37844,73,218.278946,0.023153288
849.313196,89,218.533223,0.42928922
535.939124,64,218.71558,0.021728305
494.109341,63,219.439348,0.50217456
460.227716,57,219.603272,0.32312712
472.049566,63,219.782557,0.4355033
641.657914,70,220.683353,0.301558
762.178497,88,220.946774,0.13776517
509.488895,61,221.121071,0.039191756
603.296389,70,222.247273,0.0739261
452.055314,122,223.275525,0.13912432
865.592795,90,224.192679,0.45894393
454.561612,74,224.448835,0.07758625
556.152838,67,224.982203,0.29157785
793.007658,84,225.780913,0.64640534
475.747277,74,225.988581,0.096833795
449.647561,60,226.692354,0.7567489
627.846323,73,226.898674,0.42401803
775.543663,83,227.131249,0.031661615
531.200836,63,227.872774,0.015634643
471.106398,73,228.078732,0.08934488
406.357736,61,228.249524,0.7871341
484.846958,65,229.006616,0.5655381
599.683513,77,229.223355,0.6142064
591.498387,68,229.424255,0.42800292
554.426142,64,230.316951,0.12424154
636.5979,71,230.516087,0.5786696
861.745281,88,230.764519,0.12611218
480.457308,65,231.686796,0.012062184
537.202504,63,231.864125,0.015899077
418.918537,59,232.03218,1.2297667e-07
733.92322,79,232.794776,0.729607
419.900892,75,233.007827,0.11719385
464.473235,74,233.75786,0.14039756
477.247772,72,233.960516,0.066888176
775.654114,84,234.196464,0.12503745
529.980846,64,234.926257,0.4780335
489.482734,60,235.094377,0.010643956
628.839464,71,235.293419,0.25490722
796.509388,85,236.073928,0.45472366
436.690625,58,236.243174,0.4647376
731.370216,81,236.472964,7.4358e-08
470.504203,71,237.222564,0.11505548
422.912172,58,237.388197,0.8964029
474.459681,61,237.560203,0.19432816
627.006108,74,238.348308,0.0007751963
513.824068,74,238.556601,0.0065044938
575.280008,69,238.748769,0.01450492
557.505344,66,239.48289,0.37674904
478.061545,89,239.736034,0.098069
945.415734,93,240.540431,0.005745897
479.527505,65,240.725175,0.6375973
932.543388,92,240.984432,0.073435284
435.046477,59,241.692909,4.3118824e-08
639.218485,73,241.900577,0.003268462
562.352345,66,242.086805,0.015840065
423.036085,58,242.797463,1.9169168e-08
620.115274,71,243.00053,0.17059678
366.307691,57,243.161621,0.19762619
559.244404,65,243.889715,0.59543014
546.063036,67,244.080434,0.59123814
702.663888,82,244.329707,0.36637318
447.950645,72,245.080985,0.089963324
618.97768,71,245.314311,0.8339617
1019.827294,96,246.129225,0.29958183
495.697506,74,246.339756,0.112797186
540.643887,70,246.538769,0.09462931
514.560386,73,247.290198,0.024869999
819.90591,86,247.533382,0.00018341951
567.060974,64,247.715219,0.6195084
599.31731,107,248.682644,0.22060159
563.586206,66,248.870795,0.1170688
512.523529,68,249.606202,0.45075333
503.865542,76,249.820583,0.021099364
750.203146,81,250.048832,0.8244021
493.063642,72,250.797946,0.08617913
439.628353,59,250.96451,0.78348565
597.961566,121,251.871292,0.22373265
875.905417,92,252.132079,0.046809394
502.126402,61,252.847084,0.034261864
602.716334,76,253.065736,0.47106346
467.201216,59,253.233094,0.55514914
786.097044,83,254.01371,0.1453436
607.930332,75,254.247325,0.56813776
411.404712,53,254.399453,0.534406
470.453249,64,255.132217,0.32730186
1082.398778,109,255.439761,0.000541899
487.2748,75,255.658617,0.09508802
470.658844,70,256.399305,0.09834433
578.790326,73,256.60491,0.8245664
643.686752,77,257.365623,0.052970704
460.032714,70,257.561861,0.04962667
711.05401,74,257.771676,0.39830974
558.455972,65,258.646192,0.20048071
452.084021,56,258.804825,0.5020904
1120.963827,110,259.117726,0.025715597
512.560784,69,259.852468,7.390781e-05
704.008557,79,260.074858,0.03596418
503.343218,64,260.796185,0.003396111
499.145931,65,260.981096,0.0026017025
471.711989,65,261.163535,0.081286035
833.02509,89,261.952252,0.5560737
840.761367,87,262.19842,0.112622306
496.827332,66,262.384435,7.445613e-05
384.029613,91,263.185347,0.25658733
707.827261,78,263.404494,0.9448872
949.285351,93,264.213705,0.0042841965
567.896433,73,264.420041,0.11309795
994.406389,95,265.243218,0.00022453036
978.76861,95,265.510339,0.27684358
706.756613,80,265.735899,1.5619579e-08
489.772467,66,266.467426,0.03764369
922.517682,92,266.732863,0.14316036
548.267277,63,266.911402,0.8440155
836.514369,90,267.70835,0.08366105
1034.37047,99,267.988168,0.0560033
523.564089,64,268.709861,0.028777799
758.762645,82,268.942024,0.6982876
525.650475,62,269.117759,0.044762187
541.226586,62,269.835662,0.6010615
485.383313,66,270.020779,0.02831283
656.732157,72,270.224164,0.18589576
671.783355,79,270.989221,0.3272303
441.13697,76,271.203171,0.12595722
927.141116,91,272.006248,0.42741212
716.146464,79,272.23062,7.9197854e-08
681.217606,75,272.441139,0.8452284
425.830478,62,273.159761,1.0862929
397.706568,60,273.327516,0.1551874
438.788365,56,273.48578,0.6196139
490.157337,61,274.200415,0.035958543
494.986817,60,274.368907,0.051919103
414.425283,61,274.540834,1.5158246e-14
621.923314,76,275.300711,0.2366119
565.701002,70,275.49892,0.022737004
441.423601,59,275.663472,6.599823e-08
517.009018,62,276.381837,0.55718035
545.074701,64,276.569388,0.08363156
631.613706,76,276.784143,0.00035638962
841.177441,90,277.581791,0.39618555
490.659957,70,277.780567,0.0045766835
539.972208,65,277.968799,0.4620415
574.307971,86,278.756263,0.26228526
468.014156,64,278.937387,0.14852008
624.424416,73,279.687356,0.0020202468
808.863553,86,279.928765,0.33606574
673.913904,75,280.140483,0.7814644
751.923023,87,280.929116,0.2316573
867.766307,89,281.178445,0.06630369
347.818189,55,281.876174,0.06393037
452.849935,75,282.087112,0.097856455
474.148246,71,282.290352,0.114742555
540.233068,65,283.018895,0.033123028
414.332557,59,283.189813,0.89401114
571.520923,66,283.377772,0.24835959
883.449388,90,284.179228,0.61383694
481.940863,59,284.366672,0.217869
800.790891,84,284.605839,0.40486673
471.076356,58,285.316169,0.4426238
729.925413,80,285.54209,7.1163715e-09
1095.703772,101,286.370535,0.028735716
810.631022,87,286.622751,0.020499209
485.30708,58,286.78796,0.24786966
584.292425,69,287.528502,0.008238284
761.579566,81,287.757718,0.61543465
464.662817,65,287.942263,0.49242312
937.554828,92,288.795863,0.1241809
523.624824,64,288.97756,0.09362271
582.991379,71,289.17929,0.32214892
448.260669,56,289.881419,0.5653068
467.00849,59,290.049164,0.30326524
465.33962,71,290.251285,0.16402629
521.13889,68,290.989747,0.56139076
459.726249,60,291.157497,0.4588246
449.93922,56,291.315719,0.9944213
424.620796,80,292.089907,0.032947343
460.889129,74,292.298291,0.057404414
521.776731,67,292.48822,0.3221582
490.380245,74,293.24374,0.14341515
673.759465,79,293.467947,0.23705797
408.709055,59,294.179944,2.6399277e-08
516.622572,66,294.371127,0.15067905
757.351607,83,294.618911,0.2125794
459.228707,59,295.343065,0.5494066
636.626044,107,295.648113,0.1871734
532.714858,63,295.827027,0.6475341
440.24202,60,296.600406,0.4992636
534.791057,63,296.782084,0.039892245
453.463037,78,297.00482,0.14036894
707.155031,81,297.784163,0.28288528
742.862698,81,298.014425,0.8177319
644.446311,73,298.768687,0.51470596
430.685153,57,298.930314,0.04106262
408.916688,54,299.083462,0.93202376
757.186637,83,299.865435,0.37698334
563.325079,66,300.052927,0.350081
491.859328,59,300.220608,1.487257
431.876872,62,300.396893,0.48033178
698.262878,77,301.170449,0.8897547
516.907916,68,301.362983,0.62724143
512.980447,64,302.094023,0.009307855
783.813338,86,302.339457,0.22120766
555.942736,70,302.538502,0.51275265
454.207982,60,303.254658,0.43387377
556.813588,65,303.439428,0.016522588
437.059024,63,303.617423,0.46276334
353.948491,57,304.325857,0.15045097
453.915391,72,304.529614,0.1582124
516.190241,69,304.725305,0.21178964
411.214857,53,305.42535,1.1812296e-07
544.789578,67,305.617308,0.7621475
397.983632,60,305.789226,0.8702619
633.570432,70,305.98676,0.009389568
715.069063,100,306.819419,0.13952671
427.014907,58,306.984106,5.697849e-08
503.05564,61,307.715584,0.22019663
453.708502,57,307.877245,0.117532134
839.861736,87,308.126549,0.7162775
530.787864,61,308.88482,0.049091216
801.76456,83,309.121614,0.13937566
784.325658,89,309.37578,0.038576756
527.29367,73,310.1315,0.0828039
555.921369,64,310.312228,0.3896171
517.988168,65,310.497144,0.004631652
665.211479,73,311.256308,0.3617632
745.064235,82,311.493648,0.20145561
907.048099,88,312.290972,0.76677436
579.438533,67,312.480176,0.0013809877
504.752167,64,312.661444,0.006648329
646.342377,75,313.423225,0.009074138
795.488606,84,313.666236,0.26386195
552.508163,66,313.853083,0.18904011
545.542132,68,314.901211,0.17060713
510.168701,63,315.080335,0.36850226
513.335156,61,315.253148,0.71541816
500.94051,67,315.992871,0.035934675
514.419837,66,316.181828,0.62509865
523.342179,67,316.37044,0.13609174
735.884648,78,317.147283,0.18040928
476.061421,63,317.328652,0.07118642
425.853763,59,317.49608,0.75912726
722.375639,78,318.274031,0.66089016
832.773867,88,318.542065,0.23500237
484.915096,68,319.28361,0.0016655579
676.359736,75,319.495784,0.05940862
1018.726892,96,319.768013,0.083134055
891.457851,86,320.560365,0.39863098
564.756499,65,320.744586,0.56617695
732.784272,80,321.520336,0.08264599
660.981287,73,321.728603,0.08283891
585.598065,66,321.915674,0.5565783
486.869475,70,322.666247,0.07821338
416.965643,59,322.834247,0.84308434
388.579746,60,323.005618,0.106666535
565.889888,67,323.733565,0.18474978
655.361794,77,323.95414,0.8467148
592.729413,67,324.144895,0.41647926
427.16985,61,325.063433,0.7007805
808.625656,86,325.307616,0.5020607
682.900802,80,325.53626,1.0227857
531.497763,61,326.254032,0.60322106
563.518191,73,326.459697,0.13046065
507.176861,61,326.634462,0.003100562
477.730172,60,327.349925,0.11593088
351.241173,95,327.621392,0.0672498
547.98041,68,328.360608,0.84319216
797.331733,85,328.725044,0.6983137
738.779725,84,328.96754,0.07973899
453.044651,58,329.686399,0.59857804
792.941574,85,329.928301,0.0045044795
405.631651,53,330.079139,0.53219825
418.336914,62,330.791544,0.8248983
527.239008,66,330.983687,0.21484059
489.864707,64,331.164564,0.0115284035
489.751325,66,331.88863,0.6713432
568.267031,65,332.074486,0.24922405
428.506774,60,332.244458,0.7200749
528.431866,68,332.982191,0.287224
770.547459,82,333.216977,0.29230836
563.483727,64,333.399642,0.07744544
583.368518,69,334.134867,0.071249366
684.566669,74,334.345683,0.44407067
