#{"t_start": 1768915873.7255538, "env_id": "LunarLander-v3"}
r,l,t
-84.300857,58,1.737775
-237.497561,91,2.741988
-184.162748,74,2.988941
-281.236142,127,4.149771
-163.614266,88,5.104703
-566.099458,104,6.103631
-366.664682,98,6.416861
-128.320672,118,7.569342
-303.821383,122,8.764505
-69.22831,84,9.810365
-182.114279,106,10.769837
-302.413231,95,11.790111
-94.5023,67,12.024313
-225.681363,98,13.246109
-204.821583,79,14.45142
-128.835139,70,14.682776
-275.121182,96,15.683039
-51.894099,115,16.779459
-228.13,93,17.052501
-97.472835,76,18.165473
-170.965448,75,19.083747
-411.192707,105,19.400107
-270.5439,107,20.488118
-88.350245,90,21.451116
-307.465707,106,22.48909
-257.833841,86,22.741482
-47.143329,83,23.799829
-424.604205,112,24.794096
-188.407463,84,25.624257
-164.609652,126,26.665423
-130.796732,77,26.902572
-159.212466,77,27.924736
-84.836899,55,28.082207
-85.156359,84,29.010099
-331.650682,107,30.062878
-155.149021,96,31.030611
-252.123835,121,31.38272
-89.919047,73,32.384465
-331.791674,102,33.351006
-115.301125,99,34.399224
-358.762429,98,34.6824
-109.950874,66,35.522086
-179.794329,99,36.468122
-198.226072,142,37.552621
-197.617627,84,37.796486
-74.087634,89,38.790604
-57.65536,67,39.749197
21.344868,89,40.007577
-354.444238,95,41.047274
-395.245348,86,41.962852
-94.077754,96,42.248902
-331.22296,93,43.371327
-293.660889,111,44.581524
-288.824813,137,45.628177
-151.172884,146,46.901412
-436.719308,113,48.129879
-265.341596,139,49.235265
-289.04604,123,50.353693
-125.622197,92,51.342605
-117.62868,64,51.531701
-117.404615,92,52.510651
-355.852652,87,53.411158
-48.204512,140,54.547115
-158.299811,75,55.455378
-440.638671,107,55.744026
-105.930539,81,56.698376
-138.125324,94,57.744663
-102.356461,65,57.930935
-118.807007,72,58.997344
-126.437529,91,60.111076
-218.491628,112,60.427788
-78.252206,146,62.339266
-302.314184,92,62.592835
-109.312384,114,63.611337
-323.583583,109,64.757077
-364.993603,104,65.748108
-125.967575,102,66.729722
-326.292442,102,67.009765
-237.987863,95,68.076817
-557.813335,139,69.165282
-206.02789,131,70.323542
-422.716118,95,71.400501
31.736149,93,72.323139
-225.936537,82,72.563427
-69.913761,71,73.551562
-185.754966,133,74.663348
-89.096587,175,75.858187
-185.225777,102,76.867999
-106.018361,85,77.84692
-142.501876,70,78.042563
-40.469293,69,78.955189
-137.938849,109,80.070392
-305.924038,86,80.334038
-25.092584,137,81.595427
-449.633928,87,82.686598
-189.822835,75,83.953651
-381.119552,135,85.827368
-335.504901,80,86.241336
-241.007919,105,88.043072
-138.495279,101,90.002797
-90.854139,79,91.98556
-41.762313,91,92.446678
-262.712761,135,94.588658
-267.888791,101,96.680647
-154.133137,150,98.717919
-71.956292,67,100.496071
-132.971873,119,102.500277
-82.793114,74,102.928221
-169.269774,84,105.006805
-241.452766,107,107.319225
-108.903013,128,109.545406
-327.357454,83,111.625027
-142.273527,119,112.28388
-116.425439,96,114.553236
-258.861535,84,116.714128
-122.392272,93,118.889299
-120.710753,104,119.466552
-320.943239,123,121.976371
-222.658791,114,124.59371
-394.295071,89,126.671208
-494.247723,133,128.800174
-362.312289,137,131.055111
-351.459173,109,133.231931
-385.37056,90,135.217744
-262.154013,97,135.808919
-114.814918,87,137.643856
-163.995427,109,139.951786
-286.772164,144,142.194704
-80.524306,66,143.894279
-220.068663,107,144.471311
-203.928268,102,146.85394
-289.226921,115,148.638333
-157.382283,144,151.151437
-175.127847,79,153.114111
-211.762858,114,155.146481
-216.641834,124,157.283326
-422.776865,78,157.731765
-146.85493,132,159.995953
-125.583259,80,161.929475
-174.150868,154,164.457275
-354.744326,93,166.625653
-170.340554,73,167.104666
-107.17105,140,171.147054
-61.809731,101,171.868499
-209.246594,77,174.05132
-103.851821,87,176.203167
-130.376177,91,176.817433
-50.333529,87,178.773367
-197.334816,101,180.826245
14.127598,151,183.215944
-566.373386,118,186.117708
-420.17628,81,188.273089
-625.258703,114,190.728837
-563.89577,74,192.827268
-570.399463,91,193.410324
-760.592365,122,196.16856
-1210.413821,191,200.796215
-437.42336,84,201.352812
-3087.127117,320,208.403859
-706.438619,94,211.005949
-911.043472,137,213.75802
-2594.799586,281,219.291404
-659.195935,106,221.567163
-757.25227,153,224.206894
-389.844253,91,226.656533
-585.096892,111,227.468291
-476.778223,84,229.854394
-564.183065,91,232.28353
-612.201562,107,234.736397
-692.013559,104,235.466049
-873.094968,122,238.046671
-1636.362262,198,242.889429
-1868.824345,237,247.95839
-847.437662,134,250.791292
-421.523548,79,251.056562
-532.377069,105,252.235034
-351.506333,78,253.28889
-568.351951,116,254.495398
-407.821936,75,254.711528
-897.171779,124,255.937674
-645.674473,88,257.022557
-580.561526,78,258.05368
-1491.790339,196,259.492566
-524.299612,79,260.545755
-682.309186,89,260.814588
-570.787632,90,261.938474
-665.624252,97,263.073098
-1067.17835,154,264.407209
-524.296386,77,265.454095
-591.896549,73,265.694512
-488.431253,109,266.723602
