#{"t_start": 1768667503.9245846, "env_id": "LunarLander-v3"}
r,l,t
-174.483094,61,1.841788
-446.163542,112,3.394699
-359.906534,116,4.47155
-65.329615,74,4.742371
-106.360347,79,5.902612
-87.201208,82,7.062046
-239.944987,83,7.386712
-282.441563,112,8.621121
-154.157583,72,9.758346
-567.815714,114,10.961586
-236.279566,104,11.279451
-193.597696,113,12.429476
-58.287179,109,13.578724
-120.329179,117,14.748925
-66.120672,70,15.767575
-360.711737,106,16.14955
-155.267765,80,17.269382
-137.221498,60,17.509196
-426.464068,107,18.711803
-110.524781,95,19.791509
-47.899046,81,20.846134
-264.953572,100,21.27702
-138.654819,94,22.378064
-125.205424,71,23.33643
-79.16199,69,23.578001
-185.218134,68,24.485783
-168.985979,104,25.520125
-105.413641,68,25.779826
-146.282525,113,26.8606
-227.023296,99,27.900095
-87.582312,73,28.156168
-159.136914,77,29.15293
-288.204366,101,30.244664
-107.972725,126,31.36285
-55.541162,87,31.652208
-125.627775,108,32.796345
-110.153977,67,33.781939
-188.408842,91,34.870174
-203.233032,63,35.085033
-361.671876,102,36.025648
-38.402022,72,36.260059
-120.736868,61,37.304627
-491.809246,114,38.273635
-218.203512,86,38.589951
-293.102963,119,39.774344
-173.705976,131,40.937492
-114.716697,99,42.007352
-113.093292,67,42.967534
-128.531613,74,43.220066
-404.726326,135,44.56583
-201.780749,115,45.667783
73.225353,1000,55.690294
-222.464521,72,56.569266
-141.842601,79,56.85401
-99.295654,94,57.859458
-113.732346,115,59.010441
-171.116358,122,60.140767
-164.869612,95,61.202243
-159.312518,82,61.481659
-106.04955,77,62.508829
-310.765168,75,62.768435
-55.2626,82,63.754599
-121.027032,81,64.874349
-356.846204,79,65.173862
-131.084661,118,66.522737
-61.271443,73,67.6274
-172.3713,82,67.928495
-116.457754,90,69.082077
-390.902367,122,70.353449
-482.09338,118,71.473705
-10.780497,118,72.592505
-212.619163,109,73.649689
52.32316,1000,83.795753
-252.196203,105,84.149432
-277.523235,92,85.196224
-214.822141,67,86.070683
-122.79361,70,86.315237
-64.357955,76,87.263689
-188.066288,69,87.501543
-238.305925,84,88.665979
-50.840636,67,88.888523
-487.394498,87,89.947022
-368.467255,98,91.039953
-270.042966,103,92.003348
-71.550177,73,92.290177
-99.402468,74,93.292833
-336.465076,113,94.392587
-126.358115,80,94.688665
-187.232965,68,95.699695
-45.276284,67,95.93882
-262.34179,74,96.923961
-272.716987,144,98.153059
-297.641979,95,99.176149
-139.16387,80,100.257875
-210.091948,110,100.656827
-237.12933,109,101.795707
-331.44748,108,102.938904
-316.152495,90,104.010067
-89.576427,71,104.265011
-109.787991,97,105.36034
-100.093902,101,106.490764
-94.019393,61,106.698185
-121.16857,99,107.805913
-75.523702,58,108.767083
-326.323926,131,109.949926
-322.292781,77,110.234777
-136.731605,87,111.272998
-128.585618,66,111.496249
-122.914795,91,112.401362
-300.413535,114,113.481041
-229.254484,110,114.59644
-146.447771,80,114.883291
-138.735654,125,116.06965
-106.363691,93,117.279942
-235.752039,111,118.597002
-158.372312,116,119.722631
-53.465083,70,120.822705
-215.460886,82,121.122277
-142.800331,125,122.220104
-153.499084,87,123.195692
-176.133429,115,124.276901
-84.931203,120,125.382817
-421.049128,93,125.73697
-87.858876,98,126.851491
-54.12436,70,127.76598
-347.316575,97,128.118791
22.146834,79,129.186996
-208.975902,82,130.205007
-64.734707,95,130.546285
-300.235178,136,131.74024
-119.950608,91,132.86801
-264.332679,121,134.054585
-107.251301,119,135.23502
-107.288044,124,136.394012
-273.847396,88,137.42591
-66.040779,92,137.759855
-174.391126,69,138.833431
4.660187,100,139.785815
