#{"t_start": 1768915873.7255538, "env_id": "LunarLander-v3"}
r,l,t
-113.081012,77,1.807076
-469.74367,127,2.926383
-117.13121,89,3.991787
-214.183704,118,5.023345
-107.202824,111,6.037456
-59.700563,71,6.270463
-192.723213,119,7.431155
-148.206593,99,8.557908
-47.567867,63,8.746716
-150.668048,78,9.783559
-262.078023,113,10.75731
-221.686062,123,11.872174
-131.610421,72,12.11711
-96.179744,81,13.286767
-73.210165,108,14.583649
-292.929491,100,15.618784
-296.928129,72,15.844307
-85.471545,79,16.81072
-137.901034,116,18.012421
-79.626128,72,18.248356
-136.638097,107,19.26894
-144.255769,136,20.43828
34.048845,99,21.433107
-65.207229,67,21.635073
-103.485487,107,22.662631
-89.750369,64,23.664793
-236.701796,115,24.682885
-81.954385,88,24.937486
-42.043778,79,25.756464
-265.431058,93,26.696899
-149.605384,74,26.923399
-148.624688,83,27.971218
-148.685724,118,28.99433
-306.083704,74,29.19898
-74.810298,78,30.165253
-357.028257,114,31.190117
-142.010695,120,32.335305
-362.772854,149,33.449006
-165.527556,116,34.532494
-197.097903,95,35.458845
-83.25713,62,35.637162
-111.78906,108,36.598324
-124.018964,113,37.607467
-355.842122,118,38.66412
-70.287331,83,38.942401
-411.12883,126,40.055893
-92.373237,73,41.031575
-393.575489,112,42.030706
-477.17775,131,43.259774
-384.225245,87,44.397808
-162.95881,78,44.649414
-94.745424,177,46.63312
-345.850096,114,46.965308
-158.962231,108,48.177512
-222.898204,129,49.256037
-24.911687,66,50.213904
-443.587419,111,51.249402
-94.427338,67,51.44821
-210.480296,124,52.526594
-241.356227,99,53.472158
-180.956164,117,54.531449
-122.366811,113,55.551668
-107.686039,104,56.556866
-118.597831,137,57.719295
-350.080513,81,57.959603
-114.59277,132,59.192857
-332.007952,96,60.31706
-248.156802,100,61.305
-311.599891,90,62.355379
-37.212311,76,62.576736
-205.306882,104,63.551205
-137.425598,108,64.699031
-73.454877,70,64.893242
-118.469347,79,65.81069
-100.015719,71,66.713818
-65.751094,66,66.890524
-89.585517,80,67.905985
-60.301599,85,68.155296
-339.328189,130,69.216654
-243.781841,98,70.275838
