#{"t_start": 1768667503.9245846, "env_id": "LunarLander-v3"}
r,l,t
-292.224821,97,1.969204
-219.18185,111,3.521755
-90.366254,81,4.47155
-307.664454,121,5.783604
-132.31682,105,7.045964
-165.079557,98,7.40772
-123.918486,80,8.525388
-72.0574,64,8.753001
-100.783274,73,9.922562
-260.681593,146,11.184851
-127.521883,106,12.271393
-100.25861,102,13.430608
-399.947724,102,14.514711
-276.502106,101,14.894407
-404.562458,128,16.117651
-98.029096,63,17.162486
-152.913701,62,17.413211
-102.136743,103,18.58289
-102.408787,82,19.615781
-133.387129,73,19.918429
-283.762925,112,21.116712
-214.559982,98,22.272882
-139.121321,91,23.287104
-407.627377,81,23.578001
-266.91238,97,24.597026
-78.698541,89,25.567973
-101.167931,115,26.682404
-280.710417,117,27.797706
-188.078832,103,28.140082
-100.630843,98,29.200906
-388.617668,103,30.292183
-249.4037,79,31.267932
-67.724608,82,31.538109
-88.798698,94,32.624126
-86.534889,80,33.674318
-202.106681,118,34.079872
-167.998256,80,35.116856
-223.068772,90,36.005032
-164.7005,105,37.204689
-73.257228,68,37.41468
-115.183818,64,38.241518
-290.796201,97,38.584337
-184.273062,73,39.609828
-121.59403,107,40.679942
-232.823352,110,41.822982
-220.100371,91,42.102293
-119.239874,69,43.076896
-121.899659,114,44.327937
-82.972006,65,44.581807
-43.018879,67,45.524994
-82.988174,77,45.778932
-119.587841,77,46.78513
-253.871965,112,48.020809
-103.803133,94,49.181157
-60.905012,131,50.509037
-308.006778,84,50.812338
-46.653833,79,51.889931
-467.414216,104,53.060401
-112.461466,132,54.345337
34.303162,78,54.607896
-131.072528,99,55.769799
-180.924466,110,56.776443
-153.21923,99,57.812022
-448.165842,124,58.978581
-257.041017,113,60.077311
-293.704745,124,61.250062
-147.807835,105,61.624314
-112.212347,103,62.720838
-70.541229,67,63.659008
-45.483995,64,63.881989
-70.795596,75,64.987554
-86.799699,62,65.221888
-189.612112,76,66.417173
-173.562117,105,67.640744
-242.957836,95,68.817443
18.471045,105,69.211224
-97.385312,87,70.353449
-480.967191,84,71.346153
-376.57821,99,71.682982
-208.488384,114,72.80509
-95.468619,71,73.729282
-276.943719,101,74.930215
-185.804793,79,75.201134
-113.491532,101,76.367574
-138.265446,80,77.45248
-107.637644,101,78.610637
-314.01705,120,79.024837
-346.039503,95,80.318953
-81.590829,92,81.454233
-147.043318,137,82.707503
-445.964511,92,83.843248
-384.233071,104,84.939065
-138.927924,74,85.196224
-120.474962,85,86.120771
-312.453745,108,87.184087
-124.664133,77,87.457611
-207.211675,108,88.71331
-89.354426,69,89.672033
-171.64692,70,89.937938
-238.8574,109,91.055963
-83.404368,95,92.003348
-237.431731,133,93.244609
-157.273046,87,93.547996
-243.487891,120,94.68529
-75.181625,64,95.683671
-74.284927,79,95.954568
-236.824177,117,97.083612
-143.273695,103,98.18451
-333.762572,99,99.224049
-91.720886,71,100.26017
-100.866321,92,100.609605
-183.050042,138,101.835899
-108.012677,102,102.971
-434.580219,121,104.15358
-439.250995,109,105.291318
-409.935529,153,106.602299
-116.601182,71,107.599539
-138.835504,118,108.790634
-136.93094,84,109.070053
-96.070355,100,110.155728
-162.555717,113,111.294042
-260.643268,130,112.329777
-118.146863,160,113.571173
-71.896332,75,114.564474
-111.335852,65,114.787812
-49.138242,68,115.792011
-156.771759,66,116.021507
-289.293867,161,118.357669
-210.616121,104,118.772942
-79.212654,63,119.695777
-133.726925,151,121.090487
-124.642754,81,122.055409
-85.244831,81,122.317927
-108.563991,67,123.22752
-389.980822,80,123.490583
-206.079092,99,124.530317
-28.015977,100,125.578213
-160.11839,119,126.78465
-133.050008,65,127.007398
-291.242708,128,128.132718
-268.273863,112,129.314541
-57.94997,75,130.308738
-160.062749,102,131.407886
-102.284081,86,131.708531
-179.181292,92,132.836104
-77.952412,74,133.862574
-62.133801,65,134.070237
-254.909424,107,135.219062
-77.433532,70,136.186803
-105.018296,139,137.409932
-117.595822,61,137.621582
-102.852555,81,138.738092
-11.013587,96,139.695962
-183.936745,125,140.975249
-178.424324,97,141.312278
-260.978485,115,142.54973
-207.684174,89,143.657575
-54.064996,111,144.788796
-152.594699,124,146.104306
-371.529225,88,146.411184
-103.123684,138,147.647014
-102.769304,81,148.684874
-76.909724,91,149.689954
-65.254503,66,149.929291
-106.383415,106,151.031927
-209.084352,133,152.353425
-276.618527,80,153.403449
-368.636722,104,154.50725
-111.674193,88,154.793365
-139.512363,122,156.026476
-461.943089,113,157.130598
-63.424923,114,158.217708
