#{"t_start": 1768667503.9245846, "env_id": "LunarLander-v3"}
r,l,t
-428.312819,117,2.037405
-130.329672,63,3.425729
-235.559608,73,3.696059
-184.926312,127,4.802445
-91.005414,105,6.077179
-77.398969,98,7.292469
-320.015671,118,8.556928
-442.299867,94,9.774319
-103.805358,126,11.009653
-141.101334,88,11.279451
-133.426137,95,12.3664
-218.600898,146,13.655572
-194.599026,65,14.621572
-116.954077,65,14.860939
-239.694903,114,16.038118
-86.255815,90,17.189761
-41.339565,91,18.316548
-129.650082,88,18.680188
-264.315073,112,19.823429
-175.005142,128,21.070403
-36.012778,68,22.119127
-523.343957,95,22.454048
-133.928509,81,23.467186
-207.461319,75,24.390612
-232.323074,89,24.724624
-172.71257,85,25.679508
-243.908875,60,25.905581
-154.035012,120,27.003772
-122.311926,111,28.092211
-282.106648,95,29.15293
-74.155264,96,30.228577
-64.65328,66,30.435546
-117.447505,142,31.618084
-126.073075,87,32.684142
-324.031219,121,33.865819
-129.824186,87,34.926292
-102.24804,87,35.236773
-301.045639,70,36.05283
-249.130096,74,36.310985
-132.244861,65,37.353804
-151.12688,81,38.225756
-403.978818,88,38.537181
-286.671751,83,39.60163
-397.175888,105,40.664098
-367.577412,130,41.864002
-90.593787,113,42.967534
-77.731248,58,43.163826
-207.45649,110,44.421935
-95.699052,90,45.461679
-98.523421,134,46.625235
-235.452709,118,47.909419
-216.729775,67,48.132733
-81.476788,68,49.213128
-107.993647,88,49.522886
-42.75899,61,50.604414
-57.979129,103,51.778318
-83.574109,95,52.112908
-118.39633,86,53.187301
-217.859887,75,54.290573
-162.680656,84,54.576073
-118.913142,101,55.737942
-99.670586,106,56.744365
-149.518939,93,57.755802
-216.372512,116,58.883336
-318.415881,103,59.276394
-174.558847,70,60.205027
-153.952537,112,61.329746
-234.264244,103,62.441688
-94.201359,83,62.732816
-92.107946,74,63.679027
-346.866116,74,63.961565
-89.249261,81,65.094334
-122.055203,79,66.290456
-445.466982,105,67.534212
-122.801759,83,67.817442
-216.019685,74,68.905805
-94.799475,68,69.178561
-39.73609,64,70.241162
-140.122232,102,71.298548
-202.395718,111,71.665152
-104.193396,70,72.624202
-79.891393,96,73.649689
-84.73572,74,73.907254
-143.83911,148,75.264188
-155.861858,78,76.367574
-363.037042,87,77.468578
-270.553199,119,78.697012
-89.969677,89,78.997728
-267.414913,86,80.271013
-249.164223,93,81.405901
-115.276519,92,81.72606
-396.994566,107,82.865534
-95.7183,69,83.924903
11.696861,78,84.192724
-103.367887,68,85.164327
-105.098129,107,86.16605
-251.476498,100,87.204373
-130.613655,122,88.50675
-119.979003,102,88.856744
-123.06154,78,89.860165
-272.086073,89,90.92866
-98.55515,60,91.135558
-139.208151,74,92.003348
-436.050651,86,92.324702
-208.067624,105,93.452798
-221.22819,102,94.518802
-123.44866,123,95.731316
-65.833364,70,96.699684
56.723847,79,96.971959
-117.555757,103,98.062598
-102.721129,74,99.037189
-117.276032,69,99.26766
-103.843859,106,100.444305
-224.178308,79,101.471111
-448.861852,128,102.679704
-397.264962,134,103.914953
-450.356191,134,105.113825
-377.475861,118,106.347432
-92.249348,108,106.713965
-77.536905,139,107.949873
-91.859104,114,109.101444
-67.600819,127,110.306102
-99.220149,87,111.338357
-368.461616,90,112.218371
-194.323399,80,112.52087
-98.359975,84,113.485084
-129.74403,95,114.548785
-85.12054,86,114.851217
-114.977086,79,115.895306
-97.948224,110,117.131147
-287.871066,79,118.325331
-80.460836,59,118.565361
-216.554849,122,119.695777
-212.969215,120,120.994874
-519.085481,83,121.971253
-223.720431,102,122.300119
-316.674841,105,123.329774
-215.285692,80,124.308121
-107.168784,104,125.350867
-360.158127,111,125.764547
14.316035,87,126.849807
-180.120235,103,127.892996
-438.150975,96,129.011116
-51.088732,74,129.266604
-240.681742,91,130.324603
-306.350928,93,131.373121
-164.462072,85,131.676573
-55.792369,112,132.86801
-214.862223,73,133.894623
-184.228679,115,135.043132
-289.011972,126,136.225453
-393.398946,147,137.473845
-320.871422,73,137.728075
-287.605497,119,138.976619
-69.533334,68,139.833887
-195.537321,103,141.037124
-321.980046,95,141.378677
-307.938644,104,142.565604
-405.833131,89,143.67358
-91.313872,77,144.699037
-260.641657,127,146.009229
-265.756952,104,146.359552
-324.074419,144,147.635749
-76.892211,90,148.700747
-114.301157,67,149.626051
-155.773791,143,150.867059
-61.643678,83,151.15892
-305.76824,146,153.301622
-196.975198,211,154.75711
-432.076508,99,155.880956
-243.687253,102,156.987762
-160.935213,94,158.010999
-92.966728,72,158.249412
-360.837309,97,159.224117
-46.521695,70,159.465669
-367.130514,124,160.594614
-114.663703,121,161.780419
-562.7893,116,162.884671
-167.392688,94,163.88833
-58.723518,66,164.110373
-101.467866,69,165.194937
-63.564308,149,166.493904
-153.835998,124,167.602617
-102.589012,107,168.817452
-54.275114,89,169.990013
-73.429956,66,170.213448
