#{"t_start": 1768685426.7193172, "env_id": "LunarLander-v3"}
r,l,t
40.382199,69,2.19348
-362.085105,90,3.395532
-197.437182,81,3.727138
-91.29972,83,4.906789
-264.155495,92,6.116925
-151.632759,105,7.282165
-407.044758,120,7.752018
-298.810023,66,8.804469
-100.490053,78,9.995854
-498.944663,101,10.38918
-116.254483,89,11.450678
-73.836958,65,12.371045
-129.897031,75,12.678826
-233.932772,97,13.810702
-185.965996,103,15.120994
-431.455555,113,16.338044
-394.71695,92,16.698859
-401.978712,103,17.954549
-153.347121,119,19.187633
-56.060761,87,20.438841
-135.149544,91,20.790965
-79.001378,66,21.773393
-132.726652,64,22.960357
-107.213314,68,23.230688
-147.323553,104,24.475066
-82.734568,70,24.76748
-113.844079,123,26.111108
-336.219249,127,27.384679
-217.895301,68,28.444664
-211.272311,119,29.503803
-279.271409,81,29.837994
-132.133714,117,31.048671
-221.368678,129,32.241375
-221.041751,62,33.402688
-364.675675,94,34.604328
-116.789426,87,34.962052
-237.089846,122,36.349538
-234.875832,148,37.763124
-147.732305,95,38.929476
-358.748754,92,40.110284
-121.647315,112,41.486027
-74.619725,97,41.88469
-171.342983,103,43.186226
-219.145377,95,44.322255
-224.757237,70,45.174028
-170.806599,90,45.554162
-46.707964,65,46.499542
-221.859888,110,47.798604
-117.282709,62,48.055364
-238.201987,107,49.257469
-36.072614,65,49.512817
-212.564576,82,50.792326
-253.317978,85,51.98133
-165.115379,77,52.297454
-123.341537,72,53.370776
-325.693788,98,54.416893
-365.386934,83,54.750359
-130.20673,84,55.823761
16.809945,96,57.119795
-270.241835,135,58.446587
-171.640489,79,58.763188
-327.986887,74,59.756903
-108.051266,77,60.882298
-136.068715,77,61.181791
-622.153305,122,62.623272
-227.37347,104,63.769073
-123.008619,63,64.011286
-182.595918,62,65.065967
-67.443766,79,66.210645
-138.182628,85,66.575694
-371.883813,114,67.81742
-363.111662,108,69.268405
-154.21994,102,70.446392
-172.332809,75,70.748282
-183.860049,92,71.851906
-223.976791,93,73.152471
-218.33816,99,74.388284
-322.604552,107,74.817663
-97.219235,123,76.159174
-98.947438,104,77.35061
-87.913071,71,78.362672
-110.368138,89,78.724183
-236.990615,98,79.875206
-94.541332,102,81.006239
-117.242132,68,82.048998
-50.056024,65,82.303774
-152.06691,137,83.569462
-45.694174,131,85.119897
-124.40296,83,86.257343
-88.912539,73,86.544424
-166.180245,79,87.666657
-70.158561,95,88.947497
-398.721737,94,89.316185
-112.372835,100,90.520436
-500.44341,97,91.700423
-161.225757,84,92.925423
-146.573049,55,93.148381
-115.963906,119,94.448229
-110.498729,89,95.612349
-143.321008,140,96.989019
-117.613128,75,97.27501
-171.591675,151,99.525406
-101.321463,83,99.852296
-126.346565,111,101.120321
-75.583273,73,102.190488
-160.986493,99,102.583798
-464.312944,112,103.894886
-304.028769,99,105.221123
-112.131418,65,106.298803
-182.696228,161,107.805114
116.907711,1000,118.664183
-97.480157,84,119.001184
50.419357,103,120.315144
-81.665,87,121.493982
-134.759842,108,122.740387
35.642877,87,123.073202
-148.717071,88,124.282873
-108.577772,84,125.526297
-269.392439,86,125.874597
-136.415924,99,126.987741
-15.553211,147,128.478469
-262.765323,139,129.827361
-103.003017,138,131.166046
-402.100234,99,132.362356
-111.807571,94,133.4481
-97.308813,87,134.740537
-97.925564,97,135.122262
-137.989682,131,136.459374
-53.415418,64,137.469685
-231.891416,102,138.627665
-302.072019,117,139.914037
-109.520176,69,140.2048
-101.84289,60,141.35274
-186.801765,93,141.702541
-158.040918,119,143.034409
-114.289869,86,144.11907
-327.303749,100,145.199672
-117.911315,100,145.613868
-92.160057,121,146.940783
-97.954676,89,148.08256
-43.625401,66,149.192464
22.64999,83,149.494833
-158.535754,78,150.506231
-80.494109,76,150.812489
-312.110654,94,151.904333
-283.57931,102,152.973868
-112.162976,110,154.315871
-74.980862,127,155.621567
-119.344377,90,156.868579
-297.800541,99,157.259436
-74.752243,102,158.444701
-148.813624,70,159.573172
-261.294819,87,159.908974
-86.445781,127,161.324069
-43.484922,105,162.557443
-149.548749,119,163.862525
-72.453358,65,164.986473
-109.271496,79,165.285865
-118.426196,107,166.438424
-143.031019,62,167.553379
7.332404,120,168.031432
-64.605857,71,169.133719
-158.143801,64,170.05115
-395.685341,118,170.529698
-207.09544,114,171.929984
-82.003502,92,173.209264
-153.541633,81,174.199502
-51.156269,90,174.574972
-147.245743,88,175.688551
-239.086551,88,177.048174
-14.759694,146,178.394259
-77.261151,101,179.589262
-64.401733,159,180.920409
-279.12351,117,182.1632
-109.17594,85,183.349714
-99.301981,107,183.780399
-192.139316,117,185.141334
-228.329156,66,186.20626
-106.326009,101,187.500383
-74.189658,82,187.817748
-112.594629,136,189.253089
-146.884876,79,190.428282
-206.854428,109,191.712706
-80.274209,67,191.987297
-58.621051,67,193.11486
-67.805309,79,193.431088
-121.207815,99,194.732448
-241.670665,102,195.919115
-250.191759,147,197.354482
-266.251099,110,198.673245
-164.329545,80,199.913447
-322.999674,103,200.326132
-110.300205,109,201.555117
-111.58529,90,202.806444
-109.077518,129,204.112045
-123.484682,106,205.143088
-166.971178,129,206.579553
-130.489883,114,207.83578
-96.041608,66,208.099418
-122.592536,131,209.374838
-1225.363104,164,211.854398
-817.352081,119,213.185958
-739.563693,101,213.583863
-755.729361,110,214.923274
-1219.194519,189,217.460896
-1318.407264,162,218.961342
-1443.302887,211,221.520486
-787.80433,149,223.054834
-682.932088,99,224.351035
-407.141937,78,224.653306
-572.233376,81,225.849001
-500.983545,93,227.200305
-870.565047,120,228.663507
-525.83456,85,228.998989
-559.256727,77,230.197058
-615.311284,85,231.439265
-526.609846,84,231.789541
-1354.203248,169,233.366719
-1066.147766,167,235.704797
-480.023193,76,236.007668
-1103.131006,157,238.431062
-1558.504992,218,240.247457
-629.682396,104,241.55634
-489.773929,77,242.714408
-474.765544,88,243.058976
-448.082333,82,244.255191
-710.075658,122,245.526747
-2498.454892,275,248.474824
-986.438819,130,249.837161
-513.734315,97,251.089602
-666.998641,140,252.44156
-834.998806,120,253.799045
-2057.28977,251,256.557272
-454.726245,76,257.736216
-684.115052,100,258.127066
-490.853125,82,259.328165
-917.520076,138,260.500834
-1035.752038,142,261.859277
-651.116637,86,263.077645
-538.331153,84,263.407043
-1616.790881,202,266.103458
-1588.551183,203,268.539854
-517.307942,94,268.911365
-684.662056,100,270.168217
