#{"t_start": 1768920195.1238184, "env_id": "LunarLander-v3"}
r,l,t
-76.453787,54,2.155274
-129.580653,80,4.084535
-111.137284,64,4.518065
-182.78014,63,6.357532
-253.490905,61,6.802824
-67.706546,77,8.896802
-100.147838,119,11.502465
-198.652698,109,12.390748
-85.802613,73,14.417574
-290.637423,92,16.507353
-90.182725,81,17.162162
-86.498224,69,19.025919
-229.614381,102,21.333596
-287.155748,98,21.972509
-66.769323,63,23.851796
-120.00482,63,24.371025
-94.884838,83,26.855084
0.918238,125,28.751411
-147.924588,113,29.916772
-159.924253,77,30.896083
-109.332247,75,31.13035
-117.528533,95,32.225713
-182.157205,87,33.29711
-91.756111,69,33.509309
-93.105262,71,34.476121
-134.059275,109,34.827156
-248.730821,117,35.963949
-205.98071,90,37.029737
-4.633633,86,38.115599
-112.744644,90,38.388103
-156.75704,65,39.369277
-130.993498,106,40.329006
-129.668158,62,40.52173
-357.514272,107,41.656464
-89.739172,69,42.711707
-170.791933,79,42.951982
-107.985398,76,43.903694
-125.905658,90,44.994976
-140.047071,89,45.264997
-152.677789,96,46.226459
-81.87328,65,47.208311
-147.120775,83,47.455712
-246.832986,104,48.608087
-147.188259,61,48.808524
-58.987936,85,49.971481
-371.590656,111,51.178198
-54.049653,65,51.374915
-92.267906,145,53.481736
-123.082059,125,54.711074
-265.873705,90,54.968672
-202.602463,88,56.071756
-155.583293,123,57.161509
-154.081882,79,58.135054
-233.496211,106,58.468012
-210.428908,102,59.478183
-457.734231,100,60.559072
-102.706894,111,61.694413
-62.114974,76,61.946745
-207.441779,108,63.162038
-166.719067,64,64.14099
-437.020826,132,65.254274
-91.070227,141,66.43952
-98.308981,77,67.324431
-104.851766,72,67.553343
-107.166029,116,68.759392
-161.706352,96,69.747595
-414.676173,96,70.042112
-144.602232,85,70.945819
-112.342949,71,71.923552
-96.903375,77,72.155563
-202.859408,138,73.237367
-46.057805,66,74.223262
-195.959535,145,75.43338
-307.626789,126,76.652699
-149.594066,75,77.68728
-170.959195,89,77.941293
-107.360258,59,78.929573
-87.701907,75,79.150343
-93.407543,83,80.226627
-140.724021,87,81.266783
-85.174114,70,81.486531
-112.906081,88,82.62234
-597.517468,115,83.653525
-79.6726,83,83.910453
-51.26849,96,84.923089
-121.546911,61,85.863242
-365.168128,116,86.931591
-183.866499,88,87.204628
-117.587855,83,88.253766
-114.0956,78,89.3047
-454.837589,116,89.683095
-422.722686,109,90.848161
-146.973194,89,91.864478
-185.298855,80,92.813385
-78.114248,80,93.069343
-83.576442,59,94.071476
-131.312639,84,94.340025
-46.873851,63,95.254852
-82.105479,84,96.156003
-221.763055,62,96.346233
-128.658271,119,97.539937
-259.342331,81,98.637574
-340.300936,80,98.888076
-238.180347,86,99.974589
-109.478488,65,100.176034
-416.465962,101,101.319077
-96.686696,74,102.417159
-252.302418,78,102.649606
-228.058816,107,103.77934
-355.553909,108,104.909636
-109.67968,82,105.99555
-223.720508,96,106.281528
-173.311153,98,107.447228
-138.505263,128,108.641035
-214.294136,83,109.62796
-490.345968,88,110.696276
-140.281238,82,110.949874
-51.74927,70,111.890893
-58.907583,62,112.087697
-322.053321,131,113.154056
-31.653843,84,114.252612
-247.42132,111,115.246572
-268.231552,118,116.321361
-271.461245,113,117.466974
-35.575078,128,118.662411
-491.017337,147,119.949377
-100.83367,86,120.240646
-241.93463,123,121.344211
-1.306629,158,123.318397
19.744541,80,123.568455
-178.801923,121,124.844374
-115.054398,75,125.731662
-108.674914,89,126.009452
-330.026288,101,127.132158
-104.493492,110,128.388054
-298.370409,130,129.61904
-17.539281,69,130.636118
-273.173098,91,130.921372
-220.493064,97,131.958138
-111.681691,76,132.984446
-96.826551,88,133.269471
-102.311193,64,134.182034
-165.127916,74,134.403673
-123.753632,103,135.484147
-92.242221,75,136.364708
-383.830645,89,137.367747
-291.932514,102,137.679195
-315.243368,137,138.84625
-184.259837,116,139.977676
-296.199198,106,141.119218
-163.768051,97,142.134549
-61.738514,113,143.169034
-238.985492,119,144.328767
-133.937023,140,145.629899
-237.770455,99,146.600359
-192.576855,102,146.918683
-104.967988,87,147.932244
-142.11991,82,148.809184
-233.959709,105,149.142208
-206.650459,104,150.225284
-103.372734,107,151.238705
-335.294194,87,152.270694
-936.789401,153,154.645626
-941.578973,132,155.921043
-1347.689503,177,157.217911
-1709.206332,215,159.471988
-908.488661,112,160.913621
-665.991455,97,161.542167
-904.418214,125,164.079932
-676.68968,103,166.398064
-2422.250551,286,171.622698
-387.168996,110,174.280047
-2163.57937,256,179.593947
-719.606233,100,182.042068
-612.897729,103,184.482998
-1329.784421,162,187.162405
-1484.943014,178,191.761868
-535.920029,79,192.33396
-3451.062559,333,199.67825
-463.120994,81,200.234426
-573.006079,111,202.561234
-1073.26606,141,204.853333
-469.736445,107,207.419741
-632.043239,87,209.643595
-876.293503,179,212.428366
-538.033788,90,214.754179
-583.068086,88,217.086745
-484.029462,83,217.624125
-2814.510106,277,222.967895
-635.171379,111,225.301375
-1062.788168,143,228.217926
-716.93543,99,230.833602
-513.792116,102,233.251088
-720.275775,119,235.234347
-1703.461486,196,237.992153
-391.626251,100,239.699264
-1252.366812,174,244.0664
-827.061154,130,246.583393
-695.20309,96,247.282993
-500.807633,108,249.73098
-750.044331,110,252.022159
-619.468626,102,254.217396
-633.365974,90,256.514421
-356.010245,80,257.101753
-889.523312,124,259.615942
-841.396166,112,261.780841
-1564.893759,201,266.583329
-2128.600046,252,271.609246
