#{"t_start": 1768663490.4982946, "env_id": "LunarLander-v3"}
r,l,t
-85.233964,83,1.954548
-114.641375,76,2.123495
-300.3317,115,2.407403
-118.546457,77,2.564846
-357.06811,91,2.757821
-146.732679,144,3.025224
-416.095514,123,3.271787
-83.054149,67,3.410833
-167.892344,87,3.536094
-123.13642,96,3.705579
-112.685964,141,3.954287
-105.268046,86,4.107394
-90.966932,118,4.309742
-324.879891,107,4.474201
-40.574759,101,4.651129
-461.02223,111,4.868969
-234.612605,95,5.071488
-90.923798,69,5.186022
-46.372135,105,5.386432
-65.149796,75,5.587798
-85.514208,80,5.731162
-147.777757,90,5.934988
-190.779136,106,6.138156
-157.229744,83,6.301174
-311.583693,140,6.557182
-90.409817,59,6.668493
-130.256856,93,6.865844
-238.057151,147,7.168607
-130.154577,95,7.357579
-172.917966,103,7.571765
-177.513921,81,7.732891
-454.759501,99,7.920473
-310.096066,111,8.118148
-344.293504,137,8.371101
-130.064831,84,8.536181
-143.847015,125,8.769885
-124.407843,104,8.933861
-199.098804,134,9.198526
-113.270412,94,9.394367
-104.697394,106,9.604516
-102.728894,62,9.756644
-222.285622,109,9.948518
-113.881653,94,10.137988
-126.266048,94,10.323423
-216.304326,70,10.451083
-70.874387,91,10.637452
-78.343553,90,10.827279
-212.178233,133,11.072968
-218.27713,127,11.297892
-209.968681,118,11.523911
-138.479769,99,11.735904
-112.058343,76,11.854105
-94.660474,100,12.071106
-71.563742,127,12.306092
-259.206161,107,12.523949
-205.310287,87,12.66896
-110.894579,124,12.917161
-258.709127,92,13.103333
-225.760083,108,13.322759
-157.104676,65,13.434389
-381.517861,92,13.635645
-140.378975,68,13.790666
-313.111894,105,14.001777
0.049425,92,14.167964
-172.36502,101,14.369062
-103.696334,65,14.507688
-185.150801,110,14.703202
-85.912794,174,15.057693
-59.01231,65,15.169203
-174.021626,167,15.514452
-275.882934,92,15.684145
-46.109547,72,15.823284
-92.941407,103,16.038406
-100.479762,79,16.168838
-80.226505,113,16.387759
-24.215729,86,16.55671
-95.203817,90,16.740855
-101.77105,133,16.998194
-62.596624,78,17.136326
-87.21732,119,17.370171
-102.985003,80,17.540164
-122.811016,90,17.715534
-108.297416,108,17.918534
-106.787692,90,18.10208
-72.021531,100,18.28635
-62.92283,83,18.434015
-86.266631,72,18.588292
-173.983104,94,18.790491
-213.858258,125,19.049603
-107.92182,121,19.294008
-106.668897,94,19.450089
-141.261932,156,19.76273
-128.95631,137,20.022309
-271.309858,121,20.263867
-75.867838,83,20.400939
-71.902669,177,20.764265
-240.283205,112,20.957386
-357.126795,119,21.174129
-75.32073,107,21.38447
-156.870644,174,21.734836
-89.722202,115,21.9574
-140.814059,135,22.206132
-168.198325,122,22.441226
-61.692146,96,22.619379
-198.014434,106,22.852476
-100.349521,147,23.118434
-171.618944,93,23.308763
-315.68766,103,23.523138
-341.402187,161,23.821965
-59.113795,98,24.024084
-269.463064,123,24.255444
-115.046803,121,24.504974
-70.735438,123,24.75603
-103.144188,161,25.021495
-78.706315,250,25.505666
-55.342589,72,25.632446
-127.153749,110,25.850283
-266.799461,130,26.100699
-234.568889,140,26.366891
-85.733559,76,26.535791
-207.598603,132,26.803791
-226.661838,158,27.101567
-87.462507,137,27.351003
-262.154728,174,27.707348
-177.03956,145,27.988096
-87.730442,106,28.206097
-64.445148,115,28.441424
-88.151836,165,28.73964
-130.918865,104,28.965397
-270.218253,135,29.241001
-26.947935,97,29.415894
-106.440394,156,29.740806
-264.197774,168,30.037097
-204.108743,163,30.317675
-98.742239,133,30.567521
-168.68246,115,30.8162
-169.795053,127,31.018723
-79.67829,137,31.252378
-145.354079,116,31.485341
-197.675008,190,31.885242
-66.052084,75,32.002237
-227.076418,115,32.21875
-337.339966,151,32.500049
-43.143459,158,32.843869
-205.555252,159,33.123401
-263.451903,152,33.404972
-72.582267,116,33.63731
-53.798018,115,33.855118
-42.516911,215,34.300768
-223.352205,209,34.654209
-15.262609,197,35.035218
-55.090896,158,35.321477
-33.000347,165,35.633941
-318.702075,107,35.854003
-73.726203,127,36.086612
-149.931694,123,36.288826
-252.389698,123,36.537575
-23.521995,165,36.834626
11.241305,133,37.084532
-104.730089,120,37.301499
-150.848113,169,37.64024
-230.87433,225,38.017292
-140.615583,196,38.35701
36.350652,1000,40.067293
-1074.78041,241,40.799835
-633.459303,200,41.254571
-1131.912528,258,41.770299
-1085.9723,270,42.318553
-1104.903105,318,42.996187
-516.600731,188,43.353189
-459.036213,210,43.77948
-1014.503701,234,44.197877
-1075.432409,312,44.853894
-1063.076449,297,45.418093
-749.431783,230,45.903089
-468.622738,194,46.295817
-606.517962,210,46.701352
-238.822624,110,46.919355
-1113.602513,286,47.471957
-1074.300636,262,47.984558
-1064.94627,238,48.434828
-1169.674356,269,48.96673
-1036.174277,241,49.450838
-485.04321,208,49.871248
-935.563545,223,50.30942
-845.554337,217,50.717866
-971.803827,222,51.137539
-978.537112,243,51.621906
-961.250166,218,52.057393
-1162.434616,284,52.605356
-862.143203,212,52.997965
-1071.105074,347,53.700692
-772.554884,201,54.106427
-1103.492324,318,54.733783
-1138.666873,366,55.435399
-882.868267,217,55.872097
-509.794191,329,56.498632
-1028.532314,240,56.988569
-1111.269246,270,57.498989
-993.762816,226,57.952362
-981.000647,225,58.404102
-981.24191,303,58.969382
-1016.245781,346,59.669377
-856.729052,310,60.265523
-418.019742,192,60.654369
-867.937753,215,61.09255
-623.732587,199,61.452092
-1185.265437,332,62.121231
-1069.655724,240,62.61025
-946.644023,241,63.065524
-402.063496,206,63.469562
-806.588037,209,63.897589
-635.326481,201,64.267759
-1015.320435,267,64.783615
-748.244031,220,65.252511
-643.801734,204,65.692699
-573.351244,205,66.083676
-1112.278414,307,66.705331
-803.408828,220,67.115827
-675.822942,211,67.525237
-677.892709,199,67.922862
-1019.22471,279,68.469207
-574.38354,214,68.865635
-983.844103,226,69.318522
-1008.944609,262,69.850837
-1072.778263,250,70.366925
-1027.967212,241,70.846832
-1099.999665,298,71.43094
-1151.757665,321,72.087095
-746.117875,204,72.480657
-1102.205329,284,73.05583
-1102.796444,295,73.635821
-1046.376726,241,74.11546
-1088.679176,271,74.668621
-839.988526,240,75.136938
-1089.316944,314,75.765742
-772.860781,414,76.609203
-1025.777387,238,77.06357
-1028.145382,242,77.549997
-1091.566495,249,78.049804
-1078.451834,292,78.646308
-667.557637,204,79.019281
-565.162682,226,79.437197
-1164.328967,279,79.983507
-369.761339,354,80.653919
-23.911187,183,80.99928
-237.140915,192,81.370872
3.484042,135,81.588018
-127.991112,771,82.938225
-44.911607,195,83.26644
81.745092,1000,84.942751
-44.850214,214,85.307098
34.58981,1000,86.968295
-39.930258,185,87.235759
-78.184346,315,87.780118
-157.672609,835,89.086679
-12.23585,263,89.514553
40.830834,1000,91.11912
79.554953,1000,92.67111
114.088544,1000,94.203341
-93.977616,1000,95.666143
-27.528413,1000,97.163515
-54.867164,1000,98.765912
-3.263074,1000,100.187205
-111.788365,1000,101.747782
-93.242025,1000,103.266239
-87.443447,1000,104.732839
-92.126923,1000,106.173618
47.404077,948,107.581576
-36.584077,1000,109.134069
-28.135343,1000,110.668188
-124.908045,1000,112.586357
-135.758913,1000,114.554265
-148.901519,1000,116.693236
-119.407234,1000,118.796302
-113.742341,1000,121.146795
-144.318261,1000,123.517361
-118.704516,1000,125.835133
-115.051962,1000,128.152743
-105.908916,1000,130.345613
-126.075828,1000,132.655406
-88.417911,1000,134.583692
-65.39111,1000,136.534702
-66.1884,1000,138.504138
-76.757159,1000,140.453614
-86.963229,1000,142.313311
-81.320786,1000,144.26528
-78.607019,1000,146.117377
-155.386477,653,147.399873
-106.546967,1000,149.319684
-104.989358,1000,151.156622
-46.305369,1000,152.977304
-56.429359,1000,154.897106
-57.011339,1000,156.731607
-80.662276,1000,158.58383
-105.746938,1000,160.43704
-96.287148,1000,162.353277
-56.359334,1000,164.267177
-61.817596,1000,166.247009
-157.274622,612,167.384577
-86.010017,416,168.164594
-74.755911,1000,170.100491
-51.457057,1000,172.018764
-64.53298,1000,173.941599
-49.491366,1000,175.879153
-82.354163,1000,177.76298
-155.173083,648,178.963041
-50.365909,1000,180.880863
-92.604742,1000,182.815945
-203.725662,979,184.663735
-44.317766,1000,186.430009
-33.096925,1000,188.362895
-71.147944,1000,190.26519
-135.484087,1000,192.234585
-168.639882,1000,194.213591
-137.656084,1000,196.111063
-143.037415,1000,198.04591
-172.907391,1000,199.980796
-111.716483,1000,201.91596
-318.348685,983,203.885599
-162.174121,1000,205.843155
-188.320499,1000,207.830463
-224.611374,791,209.327558
-147.035138,1000,211.262407
-131.595371,1000,213.148407
-122.939664,1000,215.087046
-172.525729,501,216.052021
-113.44952,1000,217.985189
-100.553719,1000,219.911461
-160.567996,1000,221.812833
-112.168171,1000,223.764039
-151.173292,1000,225.86513
-133.996046,1000,227.875747
-150.679711,1000,229.826424
