#{"t_start": 1768915006.133654, "env_id": "LunarLander-v3"}
r,l,t
-94.401263,67,1.622852
-64.230891,126,1.822334
-225.971542,109,1.991054
-103.747888,81,2.104415
-177.119633,123,2.303693
-131.652825,128,2.501198
-151.677768,132,2.729824
-195.745323,75,2.856011
-83.704063,78,2.992958
-71.055863,106,3.158293
-115.882119,118,3.31863
-51.623578,74,3.438595
-54.667251,68,3.555317
-252.245762,90,3.67761
-38.92211,78,3.801831
-141.898016,112,3.981228
-116.060081,67,4.086535
-218.162884,70,4.214455
-88.473137,64,4.30301
-481.552864,99,4.454674
-245.881009,100,4.63242
-451.237274,113,4.806692
-220.677187,97,4.952011
-230.14565,90,5.103787
-319.411539,84,5.252909
-448.327553,128,5.456669
-162.685169,73,5.551777
-202.953192,104,5.735689
-152.553718,92,5.890629
-57.462735,68,5.990626
-89.476068,99,6.152155
-83.029457,71,6.289688
-254.656384,149,6.522157
-103.147776,64,6.602098
-84.153752,99,6.77319
-133.420677,143,7.017776
-219.448618,94,7.172884
-102.125361,75,7.306705
-143.542244,110,7.491341
-169.047851,71,7.587433
-128.023997,96,7.757254
-117.834475,88,7.90735
-115.273417,67,8.004986
-55.742338,88,8.158159
-86.83038,66,8.25545
-166.77837,82,8.40526
-226.317182,73,8.500185
-148.043248,136,8.747253
-86.171256,87,8.870921
-123.721194,108,9.054009
-263.82381,97,9.223385
-76.567633,66,9.303878
-111.721986,79,9.454826
-128.966372,119,9.639304
-127.210857,102,9.808407
-339.447555,93,9.95847
-125.318202,100,10.120493
-93.312208,71,10.252567
-201.999913,112,10.432034
-119.856827,107,10.588772
-284.868961,95,10.761876
-103.026034,81,10.91658
-129.933064,105,11.09075
-125.453773,86,11.207059
-215.275016,88,11.356947
-90.824616,68,11.490836
-473.247427,96,11.623246
-230.198793,133,11.844517
-180.332159,185,12.42072
-161.543525,99,12.721932
-243.617149,160,13.238541
-135.767491,131,13.651122
-111.927368,86,13.942505
-87.877122,91,14.251548
-382.939998,152,14.72415
-231.25178,95,15.025038
-78.456388,86,15.278121
-202.210485,95,15.57468
-297.163668,135,15.974374
-217.89821,138,16.438139
-247.54502,143,16.886185
-53.828531,93,17.238163
-64.831706,133,17.706375
-226.277685,99,17.957513
-111.44977,110,18.382499
-152.396401,142,18.808291
-72.078587,86,19.088728
-406.772407,136,19.530826
-38.366418,82,19.839599
-221.671862,103,20.14026
-97.204516,94,20.469323
-80.296126,95,20.78926
-93.565494,92,21.088168
-167.810768,106,21.409655
-84.694346,81,21.663592
-93.529968,99,21.97846
-186.492531,109,22.352053
-164.706736,132,22.741647
-205.744861,135,23.145664
-114.978161,162,23.582958
-202.743993,111,23.929815
-153.308495,126,24.33887
-40.187519,83,24.5896
-250.16992,122,24.957304
-251.969035,90,25.179901
-210.562626,96,25.482889
-22.15785,77,25.739178
-119.192596,135,26.154826
-55.248819,74,26.330217
-323.950185,168,26.875446
-61.747651,111,27.195659
-53.96218,105,27.494676
-138.070552,148,27.923146
-121.717227,100,28.28146
-46.292679,199,28.890441
-74.132097,94,29.151042
-115.721767,124,29.557371
-256.477004,143,30.107553
-324.677477,187,30.673064
-308.516637,127,31.046615
-21.724254,134,31.45593
-195.341252,152,31.940098
-275.610383,136,32.36405
-44.789334,177,32.914823
-110.700838,94,33.173391
-83.379889,149,33.668585
-104.612353,169,34.171946
-256.743872,140,34.619547
-56.58648,93,34.942212
-266.895493,129,35.328833
-26.735532,99,35.638632
-143.623981,124,35.945384
-81.965744,112,36.317012
-126.780162,125,36.755554
-170.917197,145,37.193577
-64.047645,172,37.776536
-287.708213,133,38.195349
21.514412,115,38.564209
-65.166175,108,38.894677
-1213.876466,245,40.05914
-1328.065579,190,40.673476
-4247.604348,369,41.917471
-1665.431442,273,42.837636
-1466.325661,289,43.840527
-1747.147873,278,44.722308
-1853.910989,219,45.473679
-603.410955,274,46.324988
-1661.528298,212,46.905984
-868.939123,262,47.648779
-1421.07794,287,48.411927
-1129.249085,223,49.078991
-1337.888496,209,49.716076
-1258.471006,236,50.328397
-1108.427358,201,50.863975
-1074.974945,226,51.515479
-1178.283697,211,52.026261
-1315.248777,275,52.756514
-775.848735,249,53.493289
-1397.969544,248,54.379165
-1677.633943,262,55.25832
-1386.174691,263,56.041637
-1568.681381,276,56.971136
-1601.887264,258,57.854752
-1256.215032,239,58.672856
-2006.903254,276,59.553292
-2031.660176,311,60.572037
-2139.493484,281,61.531693
-1289.62332,257,62.294685
-784.26753,263,63.198533
-1187.281812,252,64.026266
-981.847201,266,64.843492
-1785.595739,273,65.762529
-1700.857081,319,66.714763
-1630.963857,271,67.552758
-882.339526,297,68.454892
-1427.614382,253,69.198859
-2689.031964,339,70.364269
-1057.12318,233,71.11389
-2192.462681,300,72.044462
-1174.653134,193,72.688261
-1693.030071,281,73.555637
-855.574749,267,74.441106
-1638.68353,256,75.256293
-1912.063822,279,76.162709
-1544.622288,273,76.999438
-1421.30769,261,77.807804
-1428.816016,264,78.654986
-1517.982937,283,79.653921
-1223.905593,204,80.236614
-1632.501629,286,80.894
-1031.46217,276,81.73674
-1199.262816,262,82.564828
-1566.834749,210,83.164398
-755.355295,239,83.945153
-3478.129853,386,85.177136
-1673.737053,278,86.090887
-689.227608,288,87.054221
-397.182442,173,87.592653
-58.80101,128,88.021838
-190.713307,183,88.639347
-234.404979,193,89.355699
-43.547665,147,89.889508
-212.277933,164,90.455282
-146.419931,89,90.811581
-117.079615,169,91.361227
-269.660724,161,91.921838
-176.656298,127,92.343145
-52.738112,129,92.803829
-84.528439,133,93.296771
-43.842954,160,93.870496
-148.719266,96,94.203635
-123.203739,158,94.737584
-30.909889,105,95.119298
-202.626664,131,95.537513
-143.003615,190,96.154018
28.415709,212,96.920429
-86.903189,148,97.437663
-75.143801,129,97.836926
-83.387586,158,98.386907
-83.895938,95,98.720512
-80.724434,161,99.286956
-64.28027,149,99.746118
-41.190832,150,100.253751
-100.928597,97,100.553684
-73.536079,134,100.986936
-75.413531,168,101.58201
-57.671854,216,102.233252
-204.958473,309,103.166217
-4.306132,130,103.53419
-263.064305,348,104.573924
-9.289114,160,105.031887
-33.603729,184,105.544578
-31.337639,202,106.148809
-61.371802,178,106.72285
-222.728194,413,107.95539
-30.185887,240,108.676306
-34.766692,234,109.413722
-38.197576,323,110.321725
-83.926986,225,110.923491
26.762402,213,111.5934
39.130066,165,112.09327
105.244489,1000,114.912516
-105.154694,298,115.833685
64.548061,1000,118.460301
-50.26214,167,119.002734
36.777543,1000,121.788899
21.968716,148,122.319417
78.061601,1000,125.190566
-54.22181,200,125.853985
-56.657335,365,126.949077
-80.360997,385,128.051344
-29.870046,320,128.972052
-156.746552,262,129.741516
-29.799473,224,130.379003
-31.428477,1000,133.353763
-524.965421,565,135.158604
-365.155926,403,136.429404
-572.961108,649,138.553386
-556.200612,632,140.668693
-708.071908,970,143.726572
-731.924833,980,146.99953
-363.254513,404,148.317445
-565.971343,645,150.34557
-337.381109,378,151.562863
-566.94344,662,153.726906
-601.311232,1000,156.946654
-531.291034,655,159.042442
-462.513295,551,160.757658
-614.758448,1000,163.910665
-607.214173,664,166.006735
-358.216166,431,167.348931
-618.974449,761,169.733684
-440.82818,468,171.206831
-621.055198,775,173.706632
-550.443696,632,175.590132
-217.172265,267,176.389972
-576.01842,678,178.534325
-561.151643,711,180.656514
-80.013578,237,181.414469
-55.182175,304,182.320527
-43.97554,297,183.232614
-121.966204,323,184.157296
-97.338335,224,184.901855
-103.849467,345,185.940087
-2.857556,1000,189.122602
-16.232123,1000,192.391854
-8.130453,1000,195.457088
-97.057163,776,197.823202
-20.83335,1000,200.857314
-30.947997,1000,203.863378
-55.23681,1000,207.119422
-51.439747,1000,210.184244
-47.681207,1000,213.305915
-66.240525,1000,216.502084
-65.784413,1000,219.731889
-75.651441,1000,222.90015
-69.14671,1000,226.133158
-132.081406,1000,229.335764
-247.398066,661,231.571592
-108.673054,313,232.514371
-105.942786,160,232.989549
-116.274974,1000,236.25587
-331.930109,908,239.25516
-185.811641,1000,242.514307
-205.543091,1000,245.687599
-321.263823,974,248.79368
-157.289626,1000,251.982957
-179.611416,473,253.517735
-151.625731,1000,256.671307
-111.704471,300,257.601758
-121.27026,160,258.080997
-129.00961,1000,261.234791
-97.205997,172,261.760157
-254.554074,756,264.098423
-194.936537,1000,267.280691
-96.76682,1000,270.399148
-194.468348,1000,273.553514
-175.712262,1000,276.880541
-126.389446,224,277.500231
-130.230535,1000,280.324497
-61.797917,1000,283.498369
-80.242548,1000,286.412857
-143.904771,1000,289.402665
-174.100742,456,290.712928
-179.393024,461,292.123476
-38.77429,1000,295.113651
-184.990437,281,295.974048
-15.322896,1000,298.899943
-63.791999,1000,301.74882
-148.23095,254,302.484317
-47.860125,1000,305.482333
-128.832265,340,306.528818
-60.540593,1000,309.493538
-128.439201,262,310.275618
-72.583899,1000,313.119005
-172.163638,294,313.99003
-79.828554,1000,316.779136
-44.693522,1000,319.59518
-115.713148,1000,322.861315
-173.845359,550,324.684261
-100.637683,1000,327.947038
-193.087893,1000,331.241293
-126.671669,1000,334.49011
-266.692313,869,337.2921
-190.150087,338,338.3667
-215.580111,340,339.486532
-152.704929,1000,342.789825
-176.255022,219,343.494998
-151.780806,226,344.239404
-191.736011,289,345.227288
-156.458408,1000,348.568315
-203.304759,285,349.593668
-184.166382,239,350.406851
-196.762711,241,351.13987
-142.916987,195,351.761025
-160.876981,166,352.319838
-219.292103,326,353.406783
-208.513079,573,355.282362
-159.273942,228,356.078153
-68.18667,1000,359.339965
-199.275205,280,360.261607
-175.588073,385,361.521334
-152.375943,1000,364.854845
-252.330231,279,365.790526
-149.596964,1000,369.060761
-164.212972,558,370.908924
-161.075555,199,371.521966
-182.023696,357,372.595931
-190.512962,375,373.727625
-180.586863,417,375.177605
-159.603811,281,376.126442
-170.034697,162,376.601903
-206.459909,266,377.458867
-194.134938,363,378.726291
-183.695286,277,379.699763
-206.343305,276,380.63526
-221.614977,240,381.421587
-187.257002,205,382.161647
-202.707041,269,383.080094
-172.748465,349,384.222783
-193.041439,220,384.898434
-191.580854,197,385.605626
-208.634058,295,386.521323
-193.644517,180,387.1267
-177.544712,379,388.392288
-162.293722,231,389.077774
-144.30505,148,389.620413
-151.942525,180,390.143238
-166.280716,644,392.179712
-187.298369,323,393.227439
-168.927165,231,393.960505
-160.100239,478,395.581807
-179.679763,251,396.435868
-153.819238,134,396.882629
-172.896832,192,397.559272
-198.282426,244,398.353521
-163.766858,323,399.375556
-142.718671,150,399.806007
-209.635457,231,400.567021
-156.704689,188,401.191679
-173.312831,167,401.703708
-178.145474,195,402.273798
-200.203503,244,403.05084
-165.442318,433,404.446147
-142.249941,139,404.909737
-153.943619,444,406.362168
-163.287317,349,407.558936
-174.413404,426,408.919245
-195.891726,275,409.821421
-158.591346,148,410.350188
-188.430491,231,411.051064
-172.793739,246,411.862472
-201.923778,201,412.522949
-198.361963,285,413.419006
-154.472486,504,415.098805
-207.932302,210,415.855714
-177.121362,348,416.901125
-167.00828,422,418.293862
-149.573238,294,419.235083
-182.237811,462,420.77495
-215.03364,237,421.514066
-152.125249,140,421.982076
-153.429219,421,423.242975
-160.088392,393,424.51368
-145.454849,192,425.074363
-195.164073,350,426.191361
-151.740018,363,427.464201
-208.840571,215,428.180078
-179.052639,315,429.195978
-189.918945,400,430.424622
-171.93559,342,431.546144
-184.676654,383,432.757335
-174.526874,353,433.89962
-214.21082,263,434.708219
-201.062789,231,435.36159
-197.985651,239,436.117372
-204.638525,293,437.110854
-196.580014,216,437.749399
-147.752173,175,438.318453
-103.658719,525,440.005621
-169.504895,345,440.991263
-164.230155,163,441.559145
-142.770647,135,441.991009
-213.032416,266,442.891273
-198.874542,277,443.824406
-158.627983,359,445.041036
-216.411147,245,445.857842
-173.142983,152,446.357666
-202.00697,276,447.324805
-176.032127,321,448.443193
-188.591638,292,449.424011
-199.52744,265,450.257636
-179.678363,355,451.507829
-178.299368,187,452.107089
-162.498885,169,452.736377
-158.092492,201,453.374187
-197.16517,267,454.307592
-199.501148,186,454.957651
-214.085685,205,455.640884
-197.394805,308,456.740727
-196.929585,239,457.593939
-223.415344,248,458.373489
-180.295164,305,459.4239
-163.899016,175,460.040252
-167.735252,383,461.373595
-185.717592,284,462.340249
-216.821783,233,463.140342
-196.474527,252,464.007116
-180.070934,247,464.89037
-178.900466,203,465.607489
-149.93918,389,466.964851
-152.648827,406,468.289195
-147.502275,127,468.69073
-174.475776,209,469.42022
-168.039292,311,470.540323
-162.005482,132,471.007073
-198.4336,213,471.722987
-180.880452,207,472.373813
-145.53928,551,474.256648
-158.545751,140,474.722971
-153.345508,141,475.206782
-153.354822,497,476.923159
-178.513464,180,477.545764
-142.736273,419,478.973181
-185.268861,178,479.590015
-179.03541,144,480.123422
-166.264273,133,480.590294
-167.359624,154,481.081963
-157.07868,142,481.497626
-175.756124,375,482.698925
-198.785877,277,483.632608
-199.523466,262,484.414596
-145.406544,520,486.072945
-152.768851,131,486.475484
-153.347778,136,486.980523
-203.090582,236,487.736024
-194.374117,186,488.374309
-208.434108,194,488.97653
-189.257699,185,489.701681
-177.33763,278,490.583224
-171.203897,155,491.046923
-170.270528,187,491.722002
-159.921244,160,492.233607
-161.549575,346,493.287745
-146.000627,486,494.763759
-183.942095,176,495.369541
-175.314514,181,495.962039
-166.581043,236,496.736369
-165.844049,211,497.388194
-176.072332,260,498.22437
-193.299648,224,498.852212
-198.848478,199,499.507498
-181.094854,390,500.666812
-162.998892,339,501.799173
-160.998385,100,502.05093
-136.056225,127,502.443308
-191.486397,191,503.07063
