#{"t_start": 1768915006.1606138, "env_id": "LunarLander-v3"}
r,l,t
-144.643783,97,1.644033
-247.212836,111,1.811055
-86.17237,136,2.030146
-362.35819,103,2.196925
-175.238125,77,2.329407
-348.335149,100,2.458127
-177.030933,106,2.627344
-298.203054,117,2.829051
-271.765167,112,3.01221
-317.64635,90,3.174789
-121.35928,77,3.275847
-130.404907,66,3.379848
-146.131838,149,3.60569
-385.407295,100,3.757099
-98.447532,60,3.843851
-102.782804,71,3.964589
-240.1104,141,4.196503
-163.932255,119,4.380095
-117.632068,66,4.475284
-233.230134,124,4.691863
-114.888542,84,4.830269
-289.357768,95,4.983835
-139.043823,75,5.092698
-104.536364,82,5.230838
7.2808,96,5.398568
-40.029731,90,5.524817
-112.524125,101,5.680012
-313.939893,115,5.879494
-237.539647,150,6.125195
-450.55954,140,6.34299
-140.544291,105,6.527148
-133.8355,93,6.687123
-45.995324,78,6.796783
-102.715371,79,6.927943
-370.523516,99,7.10851
-175.070017,86,7.259829
-167.922127,88,7.379382
-76.31088,123,7.57628
-204.019631,124,7.77753
-301.89473,116,7.978026
-277.064549,91,8.148485
-54.405675,91,8.276246
-117.16023,123,8.473226
-243.425838,156,8.75207
-62.902364,68,8.843962
-367.081807,127,9.058591
-171.782203,106,9.229133
-123.504999,99,9.398214
-191.360235,109,9.575751
-128.354743,117,9.772318
-124.394149,104,9.925431
-392.408299,95,10.077859
-175.954021,85,10.232744
-176.758714,96,10.380038
-121.61172,70,10.495371
-122.268446,94,10.648628
-157.610633,125,10.881662
-97.292332,135,11.096747
-131.13339,124,11.296048
-246.554098,146,11.529439
-122.095644,81,11.680574
-114.463681,74,11.780248
-138.414095,77,11.978693
-114.558726,78,12.218334
-108.643007,79,12.470245
-278.566395,162,12.980537
-86.769837,87,13.243648
-183.630645,75,13.49374
-62.5399,134,13.996092
-432.977217,118,14.319431
-87.997766,74,14.595824
-111.667788,82,14.856116
-157.25832,134,15.243539
-268.724418,113,15.58075
-122.584388,88,15.805135
-80.609083,71,16.042585
-185.273019,92,16.380857
-49.827755,68,16.556101
-209.654094,97,16.891048
-270.0145,128,17.34111
-81.845354,65,17.573047
-61.986452,111,17.901933
-257.338185,125,18.375167
-104.705243,128,18.753966
-130.813187,84,19.032866
-153.071436,104,19.372854
-236.154039,138,19.849911
-127.399384,127,20.281167
-190.476022,105,20.62595
-185.59927,114,20.942458
